무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신송2리 경로당,36.648336,126.5524067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장요1리 경로당,36.6644704,126.5600157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장요2리 경로당,36.6618928,126.5590862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장요3리 경로당,36.6564732,126.5538803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초록1리 경로당,36.6742917,126.554875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초록2리 경로당,36.6691737,126.551333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용암1리 경로당,36.690946,126.547087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용암2리 경로당,36.6924363,126.5523982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
읍내1리 경로당,36.7130972,126.5459983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공그린1차경로당,35,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호반리젠시빌경로당,35.7858871,127.1324265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우미아파트경로당,35.788559,127.1291113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코오롱경로당,35.7935805,127.1353769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학수(주공4단지)경로당,35.7923317,127.132574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경복궁경로당,35.7901342,127.1327913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율곡마을회관,35.0016022,127.6209921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법전1마을회관,35.873077,128.141326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명천2리 마을쉼터,35.912233,128.191453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연일공원 정자7,37.4197652,126.6917235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉동밤실 우산각,34.7806458,126.9905252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉동연동 우산각,34.782104,127.0086107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관호 우산각,34.7666619,126.9879937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학산 우산각,34.7536768,126.9936115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외반 우산각,34.7374433,126.9990323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만년 우산각,34.7406459,126.9562013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기동 유선각,34.8099173,126.9626862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정 유선각,34.8308188,126.9777315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
축내 소공원,34.7830774,126.9627516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우산 유선각,34.8143128,126.9210601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여의 유선각,34.7696822,126.9573048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산 유선각,34.7866865,126.9565164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
탑동 소공원,34.7681064,126.9761845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내동 유선각,34.810554,126.9939695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두룡 우산각,34.7307702,126.949316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복흥 유선각,34.8406426,126.9752789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석정 유선각,34.798913,126.9540883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선정2구(마산) 유선각,34.7890726,126.9775468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두봉 소공원,34.8102684,127.0158563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제산 유선각,34.7908282,126.9412736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥동마을 정자,34.872158,128.5416612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉림 유선각,34.8009167,126.9302763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹양(갈영) 유선각,34.8005585,126.9963391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병동 유선각,34.8289169,126.9102577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
축내(반송정) 유선각,34.7810251,126.9611291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선정1구 유선각,34.7900355,126.9647624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용강1구 유선각,34.7734044,126.9726972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선정2구(종정) 유선각,34.7890575,126.9774574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어곡(원어곡) 유선각,34.8339833,126.9625599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대리 유선각,34.7221934,126.8646454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원반월 유선각,34.8085923,126.8244873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대삼 유선각,34.7985208,126.8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉덕1구 유선각,34.81194,126.8879492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원등 파고라,34.8035507,126.8376287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
술역마을 정자,34.8458148,128.4814817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사등면사무소 정자,34.9185811,128.5224721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소오비마을 주민쉼터,34.9002805,128.6299316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구영마을 정자,35.0299106,128.6975787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관포마을 정자,34.9920792,128.6935804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율천마을 정자,34.9655658,128.6897996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수변공원 정자,34.8857432,128.7356783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신배산 우산각,34.7532168,126.9966704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정암 우산각,34.7476258,126.9903282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만수 우산각,34.7429266,126.941391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북동 우산각,34.7580003,126.9900275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양곡 우산각,34.7706871,126.989399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하산 우산각,34.7233489,126.9735159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내반 우산각,34.7383936,126.9943529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진곡 우산각,34.7753206,127.0055221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽동 유선각,34.8312315,126.8806523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금장 유선각2,34.7379689,126.9202435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
