무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금산항 정자,34.75614,126.16309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
존포 정자,34.70454,126.153655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자라 정자,34.6963,126.186895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반월리 정자,34.70042,126.104148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모농 정자,34.58567,126.093676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원목 정자,34.55256,126.065097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌 정자,34.54229,126.049557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고산 정자,34.79204,126.164527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당고 정자,34.79202,126.152298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도창 정자,34.82246,126.09292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송곡 정자,34.87487,126.129723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인정경로당,37.4618374,126.6835698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농협은행 인천옹진군지부,37.4589559,126.678217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주안1동 행정복지센터,37.4637563,126.6766083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장수경로당,37.4552667,126.6713944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원산 정자,34.78394,126.121762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둔봉 정자,34.77337,126.153019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진고교회 정자,34.78,126.150653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두음리(문화마을)경로당,36.9132199,128.3530494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
직티리경로당,36.8886523,128.3400394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당동리경로당,36.921258,128.3638923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴평리경로당,36.9037911,128.3489544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사인암리경로당,36.8917954,128.3413357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황정리경로당,36.8814072,128.3566189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주안8동분회 경로당,37.4495649,126.6860419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주안8동 행정복지센터,37.4496445,126.6892677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사화공원 어린이놀이터,35,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벼리어린이공원,35,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관교동분회 경로당,37.4425264,126.6935026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공적비경로당,37.4470127,126.6937917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관교동 행정복지센터,37.4442539,126.6968242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문학동분회 경로당,37.4378933,126.6815224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문학동 행정복지센터,37.4376247,126.6849423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자산동행정복지센터 앞 무더위쉼터,35.2052951,128.5651126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가평2리 마을회관,37.0714775,128.2851452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕촌리 경로당,36.8528876,128.3850159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥월1리 마을회관,37.142295,128.465218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문수실버복지관 힐링파크공원,35.535335,129.250504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥동우수저류시설 공원 내(정자),35.535489,129.283702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹전4리 마을회관,37.141867,128.681065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주문1리 정자,37.124428,128.603788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥동리 정자,37.123417,128.564896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
각동리 경로당,37.114074,128.52984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예밀리 공터(쉼터),37.130339,128.573329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마차5리 그늘막,37.2456,128.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마차1리 정자,37.254855,128.456835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문곡3리 정자,37.2304,128.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마차4리 정자,37.253268,128.456635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연당3리 쉼터,37.185691,128.396438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신일2리 야외쉼터,37.257558,128.240795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법흥1리 무더위쉼터,37.327469,128.26907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신천3리 경로당,37.24774,128.322052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신천2리 쉼터,37.236345,128.325766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
