위치명,위도,경도
속심이보주차장,35.66231667,129.3361605
메아리학교 운동장,35.665934614,129.3403292
약수초등학교 운동장,35.647210356,129.34211083
울산외국어고등학교 운동장,35.65878737,129.3541764
이화중학교 운동장,35.658327067,129.3391995
이화초등학교 운동장,35.661178679,129.34428598
상안중학교 운동장,35.6278811,129.32992483
농서초등학교 운동장,35.631688397,129.32998678
동천고등학교 운동장,35.632779882,129.33885129
동천초등학교 운동장,35.631681388,129.3413221
상안초등학교 운동장,35.634196567,129.33407043
천곡중학교 운동장,35.632746126,129.3408485
천곡초등학교 운동장,35.639661047,129.32947447
달천운동장,35.629674354,129.32138586
달천고등학교 운동장,35.63192969,129.32884617
달천중학교 운동장,35.631036222,129.33054066
구.강동중학교 운동장,35.6135724,129.44450618
구.강동초등학교,35.6158329,129.44692154
추억의학교 운동장,35.581912454,129.45469282
강동중학교 운동장,35.62962398,129.434924
강동초등학교 운동장,35.631414,129.4350097
울산스포츠과학중고등학교 운동장,35.62375038,129.4313027
명촌근린공원,35.555140703,129.3553039
명촌둔치주차장,35.55174377,129.3526523
명촌초등학교,35.553169523,129.35633548
연암초등학교 운동장,35.586303755,129.36927576
울산에너지고등학교 운동장,35.590172272,129.369321
지경IC,35.651745814,129.44747997
신명동야산도로,35.644430366,129.43922632
교육수련원주차장,35.641252982,129.439417
시코어호텔주차장,35.634246211,129.44179853
알로하모텔주차장,35.621387,129.445724
벽산아진아파트주차장,35.619933,129.4477651
강동초등학교(구)운동장,35.615859,129.44692154
강동중학교(구)운동장,35.6135724,129.44450618
정자오피스텔주차장,35.611465,129.457061
복성마을야산,35.607885538,129.45515133
제전마을야산,35.605200182,129.45748545
우가경로당주차장,35.595699,129.462904
강동축구장주차장,35.587707039,129.45647891
추억의학교운동장,35.581912454,129.45469282
어물동야산,35.575263692,129.44951729
농소중학교 운동장,35.625687227,129.35536614
농소초등학교 운동장,35.6213005,129.3559945
호계초등학교 운동장,35.629933044,129.35654893
온누리공원,35.64373615,129.360659
매곡고등학교 운동장,35.64481377,129.3595284
매곡중학교 운동장,35.644855571,129.34939359
매산초등학교 운동장,35.644167216,129.36057467
신천초등학교 운동장,35.633772135,129.34732759
중산어린이공원,35.66164568,129.3368966
효문운동장,35.58702563,129.3733475
북구청임시주차장,35.58362718,129.3618404
무룡고등학교 운동장,35.586650928,129.36161267
연암중학교 운동장,35.585142469,129.36090101
연암초등학교효문분교 운동장,35.566327918,129.36895941
울산마이스터고등학교 운동장,35.560757342,129.37817805
효정고등학교 운동장,35.563671,129.3749317
양정생활체육공원,35.549660723,129.38618473
현대자동차문화회관주차장 및 운동장,35.541378786,129.39100239
울산양정초등학교 운동장,35.5455798,129.3866879
효정중학교 운동장,35.559237553,129.37879859
누리어린이공원,35.59128021,129.3701617
한솔근린공원,35.59252417,129.3658131
화봉공원,35.589435488,129.36482486
화동저수지주차장,35.59465651,129.3715071
송정초등학교 운동장,35.591456897,129.3658755
화봉고등학교 운동장,35.5952215,129.3700343
화봉중학교 운동장,35.5893561,129.36083586
화봉초등학교 운동장,35.5958009,129.36753577
염포초등학교 운동장,35.533219493,129.3911228
농소운동장,35.62177627,129.358776
호계중학교 운동장,35.63129816,129.3545775
동대초등학교 운동장,35.641250834,129.3497366
매곡초등학교 운동장,35.644152772,129.35023302
상방공원,35.58425554,129.3685724
북구청광장,35.582707416,129.36125361
충현중학교 운동장,37.430309681,126.88185418
충현초등학교 운동장,37.433139803,126.88648228
온신초등학교 운동장,37.442761189,126.84685329
광명역4공원,37.42110237,126.891178
안서초등학교 운동장,37.402784451,126.87064374
광명1동주민센터,37.488620441,126.8626291
광명2동행정복지센터,37.483357735,126.85592417
광명종합사회복지관,37.480914638,126.85047481
광명3동주민센터,37.480234266,126.85693413
광명5동행정복지센터,37.478766452,126.84751246
광명6동주민센터,37.471087701,126.84864043
광명7동주민센터,37.469880409,126.8544262
철산1동주민센터,37.490817663,126.86790491
국민체육센터,37.486800227,126.86564607
철산2동행정복지센터,37.484689372,126.86662222
철산3동 주민센터,37.476946872,126.87220732
철산4동주민센터,37.47401689,126.86450214
시민체육관,37.462518765,126.87116485
하안1동주민센터,37.465172745,126.8691618
하안종합사회복지관 강당,37.45907233,126.8837296
하안3동 주민센터,37.458713015,126.88161963
소하1동 행정복지센터,37.458713015,126.88161963
광명시노인종합복지관,37.452221827,126.8849047
임자초등학교,,
