무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무지개 정자,34.85295,126.241566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송공2리 정자,34.8501,126.244542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분매1리 정자,34.85896,126.33168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오호저수지 정자,34.84268,126.355006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신장3리 정자,34.82538,126.361548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장감리 정자,34.82519,126.342537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반월 정자,34.84227,126.265607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙성경교회 정자,34.86613,126.310494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금기 정자,34.89998,126.304314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광립 정자,34.85814,126.2986487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌 정자1,34.87308,126.303917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
너울공원 정자,35.094268,128.92404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바다공원 정자,35.0879,128.90011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃들공원 정자,35.11545,128.882283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화연공원 정자,35.102202,128.879974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
희망공원,35.09178,128.853522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화전공원 정자,35.105652,128.880058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
향양1리 선유산단 소공원,37.8535042,126.8087457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
향양3리 경로당 마당,37.8549364,126.8111452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉암3리 경로당 주차장,37.8291523,126.7961424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉암4리 경로당 마당,37.831682,126.7944398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능산2리 경로당 앞,37.8274221,126.7702948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영태5리 경로당 앞,37.7788105,126.7888844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕은2리 경로당 앞,37.8007877,126.7813778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능산1리 보호수,37.8207228,126.7795129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕은5리 보호수,37.8063798,126.7814836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만우리 야외쉼터,37.8151463,126.6947067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
축현리 야외쉼터,37.8028287,126.74138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성동리 야외쉼터,37.7906896,126.685304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지사공원 정자,35.151286,128.831439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화암공원,35.110416,128.877769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신호공원 정자,35.082374,128.870899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모충공원,36.6229658,127.4913029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문지리 야외쉼터,37.8231825,126.7265106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오금리,37.8214852,126.7119407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신산4리 경로당,37.787031,126.839069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신산5리 경로당,37.7972,126.840222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창만4리 경로당,37.7983926,126.8738356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영장2리 경로당,37.758342,126.908979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영장3리 경로당,37.7718512,126.9013432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분수1리 경로당,37.76345,126.855677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동대마을 정자,35.1041688,128.4170059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반월중앙동행정복지센터 쉼터,35.1936733,128.5638011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중초쉼터,35.153892,128.679496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원마루공원,36.6067808,127.4937038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금음마을 쉼터,35.2856378,128.8181061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생림공원,35.3280668,128.8476067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소감마을,35.3068869,128.9566559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차밭공원,35.2384221,128.8887529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연지공원,35.2461222,128.8692406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거북공원,35.2359096,128.8650781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수리공원,35.2622265,128.8695494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백운공원,35.2427494,128.8812516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
띠앗공원,35.2638791,128.8661923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구름송이공원,35.250507,128.8706489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
