무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장기경로당,35.7389729,126.7640408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장등경로당,35.7543904,126.7657613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청운경로당,35.7482309,126.7717343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간척경로당,35.764789,126.7651667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부곡부녀경로당(회관),35.437648,128.6056497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생초쉼터,35.6971378,128.037318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백야경로당,35.1844311,126.6461429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동안 금포 경로당,35.911437,128.024483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마고실 경로당,35.867692,128.059949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학포경로당(회관),35.3830809,128.6349938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구산경로당(회관),35.3961388,128.6390863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대야경로당,35.1998955,126.611202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외4리경로당,37.2547605,126.4602414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월야여경로당,35.179098,126.6309593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외세경로당,35.1585151,126.6273595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노동경로당,35.2056583,126.6425878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복용경로당,35.1971268,126.5926339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노리경로당(회관),35.3872888,128.6209172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌경로당,35.208305,126.6221365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내세경로당,35.1554757,126.630819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방하경로당,35.2090875,126.6044006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산경로당,35.2238931,126.6013831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주전경로당,35.2095603,126.633453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석보경로당,35.1737227,126.6410008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기경로당,35.1969907,126.6169854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한보아파트 경로당,36.1251085,128.0806478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화성아파트 경로당,36.1247485,128.0980985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부곡동 우방아파트 경로당,36.1247314,128.0995486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부곡 중앙 경로당,36.1251877,128.1027208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하사창노인회관(회관),35.4240583,128.6008235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온정경로당(회관),35.4236953,128.6098566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차실경로당(회관),35.4144625,128.6103921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청암경로당(회관),35.4074135,128.6120233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공해돋이아파트 경로당,36.1326346,128.1209456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노정리 경로당,36.1238021,128.079351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"원성1,12통경로당",36.812476,127.159552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월곡정자,35.6578716,127.9580776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자하정자,35.6665079,127.9945179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기정자,35.6652682,127.9959599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건화호반맨션 경로당,36.1373771,128.0913091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
증동경로당,35.7667592,126.7309675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후산경로당,35.7657451,126.7353351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내동경로당,35.7586192,126.7155804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
