무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백운면보건지소,37.1375546,128.0257272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송학면사무소,37.1848774,128.2608838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산면노인분회,36.9057698,128.1677253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한수면사무소,36.8850963,128.0818074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕곡리경로당,36.947317,128.129607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교동주민센터,37.146378,128.221916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송학면보건지소,37.1848066,128.2633704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포전리마을회관,37.1960006,128.2421946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시곡3리 경로당,37.1892782,128.2904366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파라디아@ 경로당,37.149365,128.224044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교동경로당,37.140426,128.218508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교동두진아파트경로당,37.1381558,128.2204832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장락경로당,37.1501548,128.229742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부강타운 경로당,37.1509509,128.2234389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충무경로당,36.3157157,127.4350473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당모루 경로당,37.1624313,128.2314712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밖모산 경로당,37.1669898,128.2114958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙동주민센터,37.139219,128.210473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부사칠석경로당,36.3102338,127.433004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남산마을 야외 무더위 쉼터,35.7388501,127.8372691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기,35.6876885,127.850992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계동,35.7026176,127.8631835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
풍계,35.7321909,127.8556999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영신,35.7127221,127.8538968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상율,35.7384364,127.8571848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세경아파트경로당,37.1334895,128.2176336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천일베리굿아파트 경로당,37.1559029,128.2279645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의림지동주민센터,37.1620738,128.2151282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고암아파트 경로당,37.1585783,128.2157859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
판곡회관,35.4272617,128.3163617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
등촌리 마을회관,36.6327464,126.7890666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건지화2리 마을회관,36.6264553,126.775328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신리 마을회관,36.6293061,126.7881215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평촌리 마을회관,36.6363769,126.7853623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황제아파트 노인정,37.386638,126.8597434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군자도서관,37.3456893,126.7851798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
협동경로당,35.0210702,128.4030151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고매5통경로당,37.2303161,127.1152863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서그내마을 sk아파트 경로당,37.2449605,127.072469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
언동경로당,37.2918449,127.1248868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대평그린빌 경로당,35.838466,128.731776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강산애아파트경로당,35.841674,128.755196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부동주민센터,35.8103,128.7537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉촌2리 경로당,35.9182996,128.4655444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
음봉송촌리경로당,36.8450303,127.0445431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이편한세상 테라스오포2단지,37.3676298,127.1678025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성신경로당,37.5902848,127.020741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두모경로회관,34.9228751,128.2785208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화원119안전센터,35.8038668,128.5007083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천내3리 경로당,35.806817,128.4973758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천내6리 경로당,35.8000066,128.4958949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
풍납공원,37.5380791,127.1217736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거여공원,37.4967287,127.1417151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감동경로당,35.0102229,128.3928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숭의경로당,35.0103782,128.3764826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새실경로당,34.9970472,128.3992313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가동경로당,34.9939072,128.3549098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도산촌경로당,34.9767126,128.3760891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백현마을 모아미래도1단지경로당,37.2869676,127.1608455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중촌경로당,35.0144971,128.4402507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입암문화경로당,34.9975509,128.4113851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일동주민센터,37.5650129,127.1739677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동농협 강일지점,37.5649689,127.1746551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리은행 삼성엔지니어링 사옥,37.5487779,127.174846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉두경로당,35.4098465,128.133582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼칠농협 이령지점,35.3658635,128.5372774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입곡마을회관,35.2593966,128.4505736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치이골 경로당,36.5758578,128.7350017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대천마을회관,35.2764824,128.4476103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운곡마을회관,35.3096803,128.4501802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공간아파트 경로당,35.187702,126.924094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호아파트 경로당,35.190306,126.925335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라인1차 경로당,35.186933,126.922978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문흥1동 행정복지센터,35.1868109,126.921661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서원A 경로당,37.6723145,127.0479851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서광A 경로당,37.6790654,127.0499159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명지아파트경로당,35.184492,126.923947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라인동산아파트경로당,35.188895,126.925437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해광한신무지개,35.186153,126.924265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중흥1차 경로당,35.184013,126.925863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모아경로당,35.185121,126.923807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우미호반경로당,35.1859948,126.9259045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대 경로당,35.191229,126.923073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상일중앙하이츠경로당,37.550657,127.159559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상일1동주민센터,37.5505837,127.1662484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다복경로당,35.2624973,128.4517659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지경로당,35.2505252,128.464595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일리버파크11단지경로당,37.5595359,127.1795307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일동성당,37.558,127.1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국시각장애인복지관,37.5510417,127.169246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동아트센터,37.5513171,127.1571187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수동마을회관,35.2766206,128.457043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은군 농업기술센터,36.503943,127.7144691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
속리산면 행정복지센터,36.5121225,127.8104099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북암보건진료소,36.5444372,127.7849743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시립강동노인종합복지관,37.552301,127.154337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농협 명일동지점,37.5546,127.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울장애인종합복지관,37.5558075,127.1482717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고일경로당,37.5608641,127.1537729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명일신동아아파트경로당,37.5538207,127.151907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명일2동현대아파트경로당,37.5500959,127.1534113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이마트 명일점,37.5547061,127.1556118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대2차 경로당,37.42587,126.646426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선학시영(아)경로당,37.418763,126.696373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선학경로당,37.4367825,126.6968779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연수경로당,37.421964,126.677112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
샘말경로당,37.414127,126.680503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고덕숲아이파크경로당,37.5517167,127.1648581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
게내경로당,37.5489836,127.1710813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상일동경로당,37.5492728,127.1714689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백송경로당,37.510505,126.9354309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동작구청 민원여권과,37.5124037,126.9394701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도1동주민센터,37.4981222,126.953069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도1동경로당,37.5003623,126.9482213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙하이츠아파트경로당,37.5000355,126.9497599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은교육도서관,36.484105,127.7160863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은군 문화예술회관,36.4871787,127.7235752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대암경로당,37.4167914,126.6524827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
래미안상도2차아파트경로당,37.4979284,126.9587206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼호아파트경로당,37.4934156,126.957282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
래미안힐스테이트고덕(여),37.5576884,127.148601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
래미안힐스테이트고덕(남),37.5576884,127.148601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양동 5개통 통합경로당,37.4420781,129.1706817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원조아파트 노인회관,37.4312982,129.1693132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노량진2동주민센터,37.5085193,126.9373525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청능마을경로당,37.416922,126.667836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서라아파트경로당,35.195293,126.902194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우미타운경로당,35.194395,126.902558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원삼각마을 경로당,35.199157,126.906831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼각월산경로당,35.20651,126.905557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
혁신아파트경로당,35.19825,126.903197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청담경로당,37.418939,126.674059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하부경로당,35.3839441,128.82292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원베네스트경로당,37.5540763,127.1311338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새장터경로당,37.5521271,127.1305781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복지말경로당,37.5526038,127.1329555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강암경로당,37.5504568,127.1320645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매화마을회관,35.5855112,128.8049298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥산마을회관,35.5656135,128.7664801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
민지2리 경로당,36.625798,128.157971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정훈경로당,37.466802,126.906432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
독산2동주민센터,37.4631486,126.90349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신일교회(1층 로비 및 카페),37.461967,126.899312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안촌경로당,35.4267804,128.8959226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외송동경로당,35.3964055,128.8386843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕진봄아파트경로당,35.079756,128.092965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동심경로당,35.1347296,129.0464824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉼터경로당,35.131534,129.04995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산포개항문화관,35.135641,129.052932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효정경로당,37.4576675,126.8998385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
본오1차아파트경로당,37.2797926,126.8532556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구암5리(이안애아파트)경로당,35.087466,128.113475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두량3리경로당,35.10134,128.125939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예누림경로당,37.290124,126.854274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신우아파트경로당,37.2883069,126.8550519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월드아파트경로당,37.2878241,126.8552107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
본오2차아파트경로당,37.2807943,126.8538665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장화체육관,37.2767428,126.8480151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산장경로당,37.4508156,126.9138957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
