무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파인타운5단지경로당,37.4796154,127.1297192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파인타운6단지경로당,37.4805143,127.1319307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃마을경로당,37.4924021,127.1540486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호어울림1차경로당,37.498154,127.154681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계산2동 경로당,37.547157,126.725894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건화그린맨션경로당,35.1699237,128.5630899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창포4차아이파크 경로당,36.0651422,129.3745208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무창3리경로당,36.619794,129.199515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대천2리경로당,36.656955,129.142227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의령읍사무소주민자치센터,35.3212031,128.2604639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민체육센터,35.3160024,128.2553981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수암마을회관,35.3088559,128.2398406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정암마을회관,35.3152203,128.2937751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소입마을회관,35.3231956,128.2669178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의령군 보건소,35.3178954,128.2548523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내조마을회관,35.35495,128.1953337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도산마을회관,35.3374662,128.1923056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽공마을회관,35.360398,128.1617448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
칠곡면사무소,35.3413847,128.1925539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신전마을회관,35.3812987,128.1781288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곡소마을회관,35.3867229,128.1756927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정마을회관,35.3872635,128.1668421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중촌마을회관,35.38169,128.1486614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마전마을회관,35.3706629,128.1658951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
필화2리 마을회관,36.1992287,129.3586546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용두1리 마을쉼터,36.1948412,129.3727992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미남리남천 마을쉼터,36.1908877,129.3487974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
필화1리 마을쉼터,36.1978652,129.3506416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목감그래미움아파트,37.3719931,126.8564389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화봉 마을쉼터,36.0875712,129.2161835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉계2리 마을쉼터,36.0802451,129.1603983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉계1리 마을쉼터,36.0712883,129.1689097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문성리 마을쉼터,36.0636618,129.1934942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구지 마을쉼터,36.1058414,129.1415333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고현1리 마을쉼터,36.1635063,129.329402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내단1리 마을쉼터,36.0620096,129.2310022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉계리상이동 마을쉼터,36.0742976,129.1559753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송평경로당 앞 정자,36.5872897,128.4137295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문정래미안경로당,37.490797,127.130416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
