무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대아파트경로당,36.636148,127.464832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙경로당,36.637863,127.4682737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비룡1리경로당,36.556291,127.384396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부용외천3리경로당,36.543384,127.421891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔봉리 경로당,36.579642,127.411274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우록석수정 경로당,36.5181183,127.4274647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청송아파트경로당,37.771178,128.913502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포남1동주민센터,37.7679063,128.908148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포남1동 경로당,37.7699386,128.910519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정주공아파트경로당,37.770434,128.915309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백학경로당,37.760202,128.933183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강릉더샵아파트경로당,37.749527,128.909108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호어울림아파트경로당,37.7543986,128.9193829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1주공경로당,37.7644558,128.9219955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2주공경로당,37.7638309,128.9215231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6주공경로당,37.7613214,128.9203621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
병산동경로당,37.762462,128.939101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현암경로당,36.6010627,127.391829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현암이교리경로당,36.5883806,127.3911213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동막제1경로당,36.589339,127.3789771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가좌1리(영서) 경로당,36.734061,127.368738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴정2리 경로당,36.729431,127.460816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙하이츠빌 경로당,36.709391,127.424702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오창 경로당,36.740204,127.453675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오창6단지 부영아파트 경로당,36.734139,127.449911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창리2리 경로당,36.739613,127.456534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창리5리 경로당,36.738229,127.453353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가곡1리 경로당,36.722095,127.458785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농소리 경로당,36.705673,127.442581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신평2리 경로당,36.698798,127.447776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중신리 경로당,36.698331,127.433603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양청리 경로당,36.716733,127.420494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복현3리 경로당,36.744587,127.452557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호곡마을 노인시설,35.3993941,127.4256928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기마을 노인시설,35.3946251,127.44081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송내마을 노인시설,35.3672622,127.2342571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상대치마을 노인시설,35.3753697,127.230507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하대치마을 노인시설,35.3715981,127.2252038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강석마을 노인시설,35.3627123,127.2299097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사촌마을 노인시설,35.3482773,127.228395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도곡마을 노인시설,35.4149012,127.2624561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
택촌마을 노인시설,35.3925265,127.2482419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평화아파트경로당,36.6260175,127.4222707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비하34통경로당,36.6286939,127.4247763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼일아파트경로당,36.632777,127.4229784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청향경로당,36.6367929,127.4208178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장승마을 노인시설,35.3255746,127.2998982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
귀석마을 노인시설,35.3158573,127.2971486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원통2리 경로당,36.702292,127.501329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사촌마을 여성 노인시설,35.3483832,127.2285519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석촌마을 노인시설,35.3419527,127.2301244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태양,37.5450512,127.2030121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하남자이아파트,37.5421657,127.1974386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이씨씨아파트,37.542075,127.197113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내수2리경로당,36.721076,127.526127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미망인 마을쉼터,36.0294208,129.372519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부 마을쉼터,36.0195289,129.3704563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원문동행정복지센터,37.4193658,126.9891436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동면사무소,37.7280404,128.9540027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정동진2리경로당,37.688415,129.034329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥계면사무소,37.6126666,129.0379444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금진1리 경로당,37.6376499,129.0433298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현내1리 경로당,37.6077178,129.0319517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낙풍1리 경로당,37.620439,129.03424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥계면 분회,37.605818,129.032849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금진3리 경로당,37.653488,129.048268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석교2리복지회관,37.842075,128.820674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석교1리 경로당,37.826812,128.846326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주암작은도서관,37.4627458,127.0325143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무수막 경로당(매지1리),37.2835933,127.9129823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥업3리흥대경로당,37.296406,127.907861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥업6리천년나무2아파트경로당,37.299231,127.9211163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공덕삼성4차(아)경로당,37.5504263,126.9507092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서교푸르지오(아)경로당,37.5537601,126.9236912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성꽃마을(아),37.5723525,126.8132457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대한항공정우회,37.5685206,126.8151908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마곡엠밸리7단지(아),37.5649529,126.8233485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11단지 경로당,37.4343,126.9926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대3차@ 경로당,37.5283477,127.0834829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자양3동현대2차홈타운경로당,37.5341163,127.0705748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상시동2리마을회관,37.7226414,128.9492881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신전마을회관,35.0774332,127.834529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영계마을회관,35.0793015,127.83809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학동마을회관,35.2368363,127.721466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분회경로당,35.156073,127.798239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함화경로당,35.1533836,127.803137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화월마을회관,35.149875,127.803497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관점경로당,35.1438069,127.798357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원묵마을회관,35.2378057,127.734163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
