row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
물빛경로당,37.585812,126.889994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평지웰테라스경로당,37.644,126.9319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을3단지아파트경로당,37.6458,126.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을6단지아파트제1경로당,37.646871,126.929934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
면목2동주민센터,37.5897681,127.0789293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은평뉴타운3단지제2경로당,37.6325,126.9275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을14단지아파트경로당,37.6422,126.9308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연구1동경로당,35.7939783,127.4232593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구파발9단지경로당,37.6414,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마고정11단지경로당,37.6325,126.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박석고개1단제1경로당,37.6326,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초곡화산샬레 마을쉼터,36.0979493,129.334624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을5단지아파트경로당,37.6475,126.9286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중유쉼터,35.5554626,127.9015204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구사쉼터,35.5757494,127.9489473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하유쉼터,35.5598507,127.9058093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중명1리 마을쉼터,35.9962644,129.3116752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을12단지아파트경로당,37.6418,126.9227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상평2리 경로당,37.0682711,127.6375823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월정리 경로당,37.0581493,127.6698992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사곡2리 경로당,37.1000402,127.6688784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
왕장3리 경로당,37.1188541,127.6388752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
왕장4리 경로당,37.117546,127.636971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송각정경로당,35.192,126.3779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미동경로당,35.1838,126.3723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
축원경로당,35.2469,126.3869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신창경로당,35.2182,126.3981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
염산면사무소,35.2179,126.3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오강경로당,35.2459,126.1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동고경로당,35.2325001,126.4248306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구산경로당,35.2290711,126.4370388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연화경로당,35.2113,126.3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신옥경로당,35.1969,126.3822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율곡경로당,35.2108,126.4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아양경로당,35.2334,126.4565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백자2리 경로당,36.707926,127.275314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백자3리 경로당,36.70179,127.276972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백자4리 경로당,36.704896,127.273496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발산1리 경로당,36.720675,127.285258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문촌2리 경로당,37.1124928,127.697506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문촌1리 경로당,37.1202249,127.6923157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오향9리 경로당,37.1111599,127.6462422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원당1리 경로당,37.069571,127.614653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상평1리 경로당,37.0648026,127.647327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사부리 괴정경로당,36.2151537,127.9792224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕곡경로당,36.213407,127.9483387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운곡경로당,35.2224,126.3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상정경로당,35.2367,126.3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창우경로당,35.2449,126.3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상오경로당,35.2013,126.3989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야월1리경로당,35.2299545,126.3258501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야장경로당,35.2252,126.3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안사면 복지회관,36.4335516,128.4624911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신내2동주민센터,37.6062938,127.0941612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"면목3,8동주민센터",37.5830178,127.0880672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망우3동주민센터,37.5923403,127.0980863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
면목본동주민센터,37.5873114,127.087529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상봉2동주민센터,37.5930666,127.0809308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중화1동주민센터,37.6011345,127.080715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상봉1동주민센터,37.5999239,127.087143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
면목5동주민센터,37.5858452,127.0794645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
면목4동주민센터,37.5747586,127.0854597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을6단지아파트경로당,37.6492,126.9303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을2단지경로당,37.6447,126.9255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상림마을9단지아파트경로당,37.6462,126.9285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입장분회경로당,36.914896,127.225025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하장8리경로당,36.911809,127.22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉양2리경로당,36.719691,127.254103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉양3리경로당,36.709171,127.246414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호당2리경로당,36.896014,127.237098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍천리경로당,36.905974,127.230501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효계1리경로당,36.902637,127.22323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효계2리경로당,36.90976,127.219679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흑암리경로당,36.931909,127.17938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하장6리경로당,36.9148072,127.2229692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하장3리 경로당,36.911364,127.223781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하장5리 경로당,36.914352,127.225973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입장면사무소,36.912816,127.221174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가산1리경로당,36.043219,128.595722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행복마을경로당,35.086642,128.910423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금오경로당,35.9325312,127.0687537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진목경로당,35.1129,128.9256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명지2동 주민센터,35.0846,128.9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청백1단지경로당,37.6356281,127.051692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청백3단지경로당,37.6318599,127.0502007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청백4단지경로당,37.631707,127.0517564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동연정경로당,35.217594,128.973481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대저2동 주민센터,35.1785505,128.9564846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서시니어클럽,35.1787078,128.9567869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성북역신도브래뉴경로당,37.6231035,127.0589179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹산동주민센터,35.1535291,128.8837853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정경로당,35.103018,128.841831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산양경로당,35.112718,128.868783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사덕상리할머니경로당,35.206895,128.97829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평강경로당,35.213583,128.951017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동동 보건지소,35.216159,128.93765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명지1동 주민센터,35.1081,128.9264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가좌노인문화센터,37.495573,126.6912324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
