무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목화경로당,35.5972262,126.7195334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원난산경로당,35.5858145,126.7175612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관동경로당,35.6046582,126.7143271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서파산경로당,35.6063071,126.718748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월평경로당,35.605007,126.710807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배방원공술경로당,36.7605965,127.0548021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배방세교4리속세말경로당,36.7722245,127.097583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목중경로당,35.5869269,126.7147741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목상경로당,35.5879512,126.7188363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남월경로당,35.5818169,126.7130744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원덕읍 행정복지센터,37.1764034,129.3357916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
근덕농업협동조합,37.38204,129.225725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
근덕면 행정복지센터,37.379318,129.225781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매원리 마을회관(경로당),37.302942,129.274156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산리 마을회관(경로당),37.383472,129.239173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금계리 복지회관,37.397213,129.179889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상맹방1리 마을회관(경로당),37.400683,129.211788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하마읍 경로당,37.284864,129.183682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미로면 행정복지센터,37.417867,129.112615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼거리 마을회관(경로당),37.408876,129.066994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민은행 삼척지점,37.443915,129.166013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양동 주민센터,37.442562,129.16843,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕골경로당(사직복지회관),37.4327891,129.1703934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전리 마을회관(경로당),37.282369,128.873666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광동리 마을회관(경로당),37.3483872,128.941256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노곡면 행정복지센터,37.347777,129.164044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기면 노인회관,37.349121,129.083181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마차리 마을회관(경로당),37.313905,129.073008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼척신용협동조합,37.44264,129.164249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양새마을금고,37.442698,129.164561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH농협은행 삼척시지부,37.444261,129.166089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양5개통 통합경로당,37.442087,129.170601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원조아파트 노인회관,37.431277,129.1693421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕충경로당,34.7508698,127.7384709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북대구농협 무태지점,35.9126753,128.5915608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무태 119안전센터,35.9570917,128.6139749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관문동 행정복지센터,35.9021357,128.5425318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일유앤아이아파트 경로당,37.769458,126.771394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성원아파트 경로당,37.7734599,126.7483275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후곡마을6단지 경로당,37.7506473,126.7691704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08통 경로당,37.775579,126.756238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11통 경로당,37.787541,126.7450582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13통 경로당,37.7554578,126.7838599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16통 경로당,37.7707079,126.7718366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석남1동분회경로당,37.5112411,126.6740053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동심경로당,37.5121,126.6651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
