위치명,위도,경도
서대구초등학교(다목적강당),35.88944579,128.5577353
비산초등학교(체육관),35.87875905,128.5643247
서부중학교(강당),35.88031185,128.5566175
이현초등학교(강당),35.87348589,128.5503987
달서초등학교(강당),35.8668447,128.5505173
서남중학교,35.8569859,128.5425895
중리초등학교,35.86942806,128.5447308
달성초등학교(강당),35.88281761,128.5792117
서구국민체육센터,35.87341238,128.5409861
서구문화회관,35.87279161,128.545577
어린이도서관,35.87428026,128.546384
경일중학교,35.8813686,128.5763532
제일고등학교,35.87068346,128.5738352
서도초등학교,35.86727227,128.5653521
구민운동장,35.8734523,128.5437726
평리1동공영주차장,35.875989,128.566095
신평리시장공영주차장,35.867973,128.560964
평리4동 공영주차장,35.868361,128.561251
경운공원,35.861923,128.555177
감삼공원,35.858655,128.5521819
황제공원,35.864058,128.565826
형제공원,35.861113,128.558644
삼익공원,35.86006007,128.5502054
내삼공원,35.856044,128.548934
동아리공원,35.885753,128.5697965
비산공원,35.887734,128.568575
이현공원,35.873311,128.544413
중리공원,35.863122,128.549485
일신공원,35.856403,128.5444331
상리공원,35.86405041,128.528816
들마을공원,35.873953,128.563817
신평공원,35.86635041,128.56251307
평리공원,35.872450229,128.55773024
인촌마을 광장,35.553604,126.625591
봉암초등학교,35.55838632,126.6277504
안현마을 광장,35.539086,126.611022
진마마을 광장,35.536501,126.608262
용산마을 광장,35.501714,126.637753
구현마을 광장,35.504161,126.669521
상굴마을 광장,35.505581,126.664678
고창북중학교,35.50796135,126.6597774
사창마을 광장,35.494525,126.674801
진목마을 광장,35.490949,126.679512
내서초등학교(운동장),35.86381875,128.5667588
북비산초등학교(운동장),35.88154552,128.5645921
비봉초등학교(운동장),35.88276492,128.5686879
서부초등학교(운동장),35.87387832,128.5737152
대성초등학교,35.87040526,128.577154
서대구초등학교(운동장),35.88944579,128.5577353
비산초등학교(운동장),35.87875905,128.5643247
서부중학교(운동장),35.88031185,128.5566175
이현초등학교(운동장),35.87348589,128.5503987
달성초등학교(운동장),35.88281761,128.5792117
대평중학교,35.8802764,128.5623303
서평초등학교,35.8782122,128.547905
민락초등학교,35.157414,129.118085
고창북고등학교,35.51504623,126.6979383
흥덕중학교,35.52261393,126.7009793
흥덕공원,35.51868513,126.7041093
흥덕면사무소 광장,35.51779669,126.7036253
내사마을 광장,35.508064,126.694791
성내초등학교,35.53744634,126.7444291
관동마을광장,35.5581118,126.730559
성내중학교,35.54309052,126.7444713
낙산마을광장,35.52468872,126.759881
신림중학교,35.48707054,126.7170983
임리마을 광장,35.48907094,126.714355
화룡마을 광장,35.494109,126.722791
왕림마을 광장,35.491667,126.736941
가평초등학교,35.47790985,126.7385161
반룡마을 광장,35.46237975,126.7228745
해암마을 광장,35.473919,126.7000975
송촌마을 광장,35.476811,126.713824
신림초등학교,35.49423535,126.7001984
벽송마을 광장,35.480131,126.684119
부송마을 광장,35.472883,126.692059
부안초등학교,35.51185738,126.6632047
지동마을 광장,35.520957,126.671419
상포마을 광장,35.57157801,126.6337567
심원초등학교,35.52571238,126.5523851
하전갯벌체험장,35.53973923,126.564929
흥덕초등학교,35.51965074,126.7015106
흥덕공원,35.52426744,126.7003437
흥덕면 시장옆,35.52144834,126.7005338
흥덕면 알뜰정육점 옆,35.51992926,126.700095
흥덕면장미주택 앞,35.520099,126.702241
서산중앙고등학교 운동장,36.778872004,126.47196528
서산시종합운동장,36.798445943,126.43550937
서산석림중학교 운동장,36.773828427,126.4685013
서산여자고등학교 운동장,36.770324734,126.46765561
서산여자중학교 운동장,36.768818084,126.46685063
석림초등학교 운동장,36.769874701,126.46536034
서림초등학교 운동장,36.767872894,126.46027134
서산중학교 운동장,36.769044094,126.45863233
예천초등학교 운동장,36.769965686,126.44974147
서령초등학교 운동장,36.744217374,126.44700519
오산초등학교 운동장,36.74550866,126.48238773
대산초등학교 운동장,36.940213475,126.43493233
명지중학교 운동장,36.967738236,126.41019905
명지초등학교 운동장,36.971687878,126.41006526
대진초등학교 운동장,36.977584247,126.38445796
인지초등학교 운동장,36.756151841,126.42499255
인지중학교 운동장,36.750026185,126.4268747
차동초등학교 운동장,36.776832283,126.40054844
부성초등학교 운동장,36.865026062,126.43626253
서일고등학교 운동장,36.859781585,126.43169444
성연초등학교 운동장,36.824196929,126.4488403
성연중학교 운동장,36.836929354,126.46179094
음암중학교 운동장,36.79028517,126.51818947
음암초등학교 운동장,36.800843551,126.51933798
용강중학교 운동장,37.521577202,126.97548416
꿈나무공원,37.520797893,126.97171522
이촌한우리공원,,
용산구청(광장),37.532452655,126.99047826
보광초등학교 운동장,37.53253948,126.99639314
이태원초등학교 운동장,,
소월길 어린이공원,,
이태원 어린이공원,37.538406342,126.98903373
이태원 마을숲 소공원,,
라틴아메리카공원,,
독서당어린이공원,,
한남어린이공원,,
응봉근린공원(매봉산공원),,
한남초등학교 운동장,37.539203203,127.0055986
한남동공영주차장,37.534856909,127.00026702
어울림공원,,
한강중학교 운동장,37.523612189,126.99279166
서빙고초등학교 운동장,37.522069641,126.99229859
달맞이공원,,
부춘중학교 운동장,36.786156693,126.44353575
부춘초등학교 운동장,36.779429791,126.44562316
학돌초등학교 운동장,36.78513062,126.44456039
서동초등학교 운동장,36.783761418,126.467598
서령고등학교 운동장,36.794799121,126.45816432
서령중학교 운동장,36.792474801,126.45827929
서산동문초등학교 운동장,36.788194018,126.46653268
불로고분공원,35.914589,128.648484
사복노을근린공원,35.868345,128.744865
새론근린공원,35.885859,128.717274
샛터근린공원,35.86469,128.70304
송호지근린공원,35.88941338,128.7054895
숙천꿈마루근린공원,35.884614,128.747622
신서근린공원,35.86671541,128.7277113
신서중앙공원,35.88095084,128.7341237
신암공원,35.887954,128.622957
신암선열공원,35.89063044,128.6311237
쑥부쟁이어린이공원,35.866645,128.691839
아라어린이공원,35.865121,128.724952
안심근린공원,35.869185,128.702767
안심체육공원,35.86786253,128.6809105
위남공원,35.92635,128.637474
율하근린공원,35.867208,128.689792
율하체육공원,35.85992363,128.69283997
햇님어린이공원,35.869028,128.695908
동촌둔치(체육공원),35.882901,128.654775
불로천둔치,35.91866556,128.6616767
동부초등학교 강당,35.88802582,128.6198324
신성초등학교 강당,35.89012297,128.6289427
신아중학교 강당,35.888217,128.6349019
함지초등학교,35.934753577,128.55786163
북부초등학교,35.93340011,128.55921499
학남초등학교,35.94624773,128.5662836
학정초등학교,35.948226745,128.56897802
학남중학교,35.945529553,128.5704392
대구체육고등학교,35.958797793,128.55771752
북구구민운동장,35.94427404,128.5738224
침산공원 야외공연장,35.89309992,128.588151
매천공원,35.90924952,128.5447409
새터공원,35.89529367,128.523266
내곡공원,35.90305205,128.5133135
금호공원,35.89581123,128.5203229
칠성고 다목적강당동,35.880607518,128.59126386
달산초 강당동,35.887698719,128.5851869
북대구초 다목적교실동,35.90328558,128.6095624
복현중 다목적교실동,35.893983789,128.62625757
문성초 다목적강당동,35.905810797,128.62035441
복현초 다목적교실동,35.897605299,128.6215383
조야초 강당,35.90973816,128.57704782
팔달초 다목적강당동,35.898947299,128.54491441
매천초 강당동,35.913325328,128.54103767
태전초 다목적강당동,35.93024436,128.5460267
관천중 3동 다목적강당동,35.931162942,128.55261457
구암초 다목적강당동,35.928144156,128.55775853
운암중 다목적강당동,35.932840087,128.56530103
조야초등학교,35.90973816,128.57704782
사수초등학교,35.90015052,128.5152444
팔달초등학교,35.8979308,128.54490829
관문초등학교,35.908699752,128.5461553
팔달중학교,35.898947299,128.54491441
태전초등학교,35.93024436,128.5460267
강북고등학교,35.929727357,128.54122301
대구과학대학교,35.929253144,128.5427827
매천중학교,35.910483317,128.54732754
매천고등학교,35.911594675,128.54723841
태암초등학교,35.92308546,128.55050235
구암초등학교,35.928144156,128.55775853
강북초등학교,35.94086461,128.5667707
구암중학교,35.92757545,128.5571352
강북중학교,35.938702738,128.56489806
운암중학교,35.932840087,128.56530103
구암고등학교,35.926238678,128.5532052
함지고등학교,35.927866856,128.56051411
관음초등학교,35.939920986,128.54711228
관음중학교,35.9410671,128.5464782
관음운동장,35.93586362,128.5451345
칠곡초등학교,35.945170341,128.55177154
칠곡중학교,35.9481754,128.55074424
교동초등학교,35.94474898,128.5494298
교동중학교,35.943951883,128.54954908
해은사 앞,35.996895,129.565099
구룡포초등학교 앞,35.99090425,129.5517529
(구)구룡포중학교(포항과학기술고등학교)앞,35.982976,129.5502204
경북대수련원 앞 공터,35.975658,129.550842
하정축양장 앞 공터,35.970483,129.552415
장기초등학교 모포분교 앞,35.93461306,129.5234329
대진주유소 앞,35.923014,129.517294
백경오토캠핑장 앞,35.90990477,129.5249778
영암리 버스승강장 앞,35.903943,129.525925
신창리 산15-1 공터,35.900583,129.525074
황제노래연습장 앞,35.885261,129.526663
부산돼지국밥 옆,35.892092,129.523039
양포초등학교 앞,35.876231,129.513146
효목초등학교(운동장),35.87600495,128.641577
효신초등학교(운동장),35.872628,128.6321105
각산비나리공원,35.885859,128.717274
거북이어린이공원,35.885859,128.717274
금강어린이공원,35.864586,128.729594
금낭화어린이공원,35.866645,128.691839
꽃사슴어린이공원,35.884614,128.747622
다람쥐어린이공원,35.885859,128.717274
단산유적공원,35.91756,128.639535
달님어린이공원,35.869026,128.698849
대구선동촌공원,35.89015141,128.649829
대구선아양공원,35.882732,128.63414
돌고래어린이공원,35.885859,128.717274
동내여울근린공원,35.890853,128.740873
동내향수근린공원,35.869895,128.737313
동대구로동네체육공원,35.8774317,128.6273231
동촌유원지,35.866378,128.643854
동호근린공원,35.865789,128.719088
동호유적근린공원,35.890853,128.740873
믿음어린이공원,35.866551,128.701184
바람꽃어린이공원,35.866645,128.691839
반계근린공원,35.866645,128.691839
반달곰어린이공원,35.885569,128.730742
분홍공원,35.926364,128.643463
서촌초등학교(운동장),35.98040326,128.6317455
송정초등학교(운동장),35.87060736,128.7340267
숙천초등학교(운동장),35.876977,128.7533069
신기중학교(운동장),35.86816599,128.7023592
