위치명,위도,경도
동명초등학교 운동장,36.37434347,127.4742848
대전동신과학고등학교 운동장,36.33285684,127.4743629
세천초등학교 운동장,36.34184756,127.4937905
산내초등학교 운동장,36.27979801,127.4700659
대전은어송중학교 운동장,36.30048685,127.4609847
대전은어송초등학교 운동장,36.30255189,127.4568244
산흥초등학교 운동장,36.22919358,127.4487402
양지근린공원,36.32641025,127.4177439
대전 선화초등학교 운동장,36.33328515,127.4236836
대전 목동초등학교 운동장,36.33495252,127.4086161
대전 중촌초등학교 운동장,36.3410476,127.4108579
대전 대전중학교 운동장,36.32076542,127.4248631
대전 대흥초등학교 운동장,36.31972351,127.4259656
대전 옥계초등학교 운동장,36.30120077,127.449041
대전 문창초등학교 운동장,36.31746682,127.4329787
대전 보운초등학교 운동장,36.31469055,127.432141
대전 서대전초등학교 운동장,36.32680788,127.4111885
대전 오류초등학교 운동장,36.32503793,127.4048625
버드내 조폐공원,36.32220433,127.38866003
대전 유평초등학교 운동장,36.33018215,127.3972532
대전 태평초등학교 운동장,36.32303811,127.3949273
대전 원평초등학교 운동장,36.3220993,127.3997424
서대전시민공원,36.32076027,127.4108672
대전 대문초등학교 운동장,36.30631812,127.4007351
대전 문화여자중학교 운동장,36.31305278,127.4099939
대전 문화초등학교 운동장,36.31171003,127.398803
대전 산성초등학교 운동장,36.29927099,127.3864666
대전과학기술대학교운동장,36.30178514,127.3757686
대전신계초등학교운동장,36.30192935,127.3780755
변동중학교운동장,36.32473995,127.3757897
변동초등학교운동장,36.32497541,127.3856134
도마중학교운동장,36.31917434,127.3723108
배재대학교운동장,36.32323809,127.3660759
유천초등학교운동장,36.31523853,127.3755926
탄방초등학교운동장,36.34604186,127.3909428
백운초등학교운동장,36.34084703,127.3844708
가장초등학교운동장,36.33061844,127.3878688
노산초등학교,34.93003478,128.0837616
대전내동초등학교운동장,36.33114544,127.3792419
대전둔원중학교운동장,36.34273183,127.3766915
대전삼천중학교운동장,36.35833146,127.393724
대전갑천초등학교운동장,36.36083383,127.3676914
월평초등학교운동장,36.35594353,127.3577183
가수원중학교운동장,36.29847229,127.35455998
가수원초등학교운동장,36.30239524,127.3530012
대전도안초등학교운동장,36.32187483,127.344474
목원대학교운동장,36.3288664,127.3374482
건양대학교 대전메디컬 캠퍼스 주차장,36.30778199,127.3426483
구봉초등학교운동장,36.29973201,127.3300549
대전금동초등학교운동장,36.29820396,127.3263747
대전선암초등학교운동장,36.29747158,127.3340399
대전원앙초등학교운동장,36.31153938,127.337133
기성중학교운동장,36.25110883,127.341185
진잠초등학교 운동장,36.29952727,127.3150867
대정초등학교 운동장,36.31529056,127.3232656
학하초등학교 운동장,36.33454132,127.3118283
계산초등학교 운동장,36.34416872,127.2994528
남선초등학교 운동장,36.28757088,127.2642703
봉명초등학교 운동장,36.34960516,127.3434732
덕송초등학교 운동장,36.36138068,127.3025226
원신흥초등학교 운동장,36.34100706,127.3425482
흥도초등학교 운동장,36.33446459,127.3386975
유성초등학교 운동장,36.36259084,127.3327358
장대초등학교 운동장,36.36192264,127.3396142
노은초등학교 운동장,36.36920203,127.3208096
수정초등학교 운동장,36.36619721,127.3134673
상지초등학교 운동장,36.37536444,127.3221723
새미래초등학교 운동장,36.37928689,127.3031247
지족초등학교 운동장,36.38080752,127.3173668
어은초등학교 운동장,36.36480708,127.3542768
금성초등학교 운동장,36.38911633,127.3508694
대덕초등학교 운동장,36.38509693,127.3821071
송림초등학교 운동장,36.3889677,127.3322552
하기초등학교 운동장,36.38864212,127.321527
반석초등학교 운동장,36.39027836,127.3127641
외삼초등학교 운동장,36.39289763,127.3105096
문지초등학교 운동장,36.39605089,127.3993449
문명고등학교,35.8050701,128.74513987
전민초등학교 운동장,36.39876048,127.4071433
용산초등학교 운동장,36.42015505,127.3950751
구즉초등학교 운동장,36.44098679,127.3827603
관평초등학교 운동장,36.42494086,127.3877352
두리초등학교 운동장,36.42871937,127.3818838
송강초등학교 운동장,36.4341525,127.3838465
대전화정초등학교 운동장,36.35735883,127.4119107
대전대화초등학교  운동장,36.36269211,127.411346
대전회덕초등학교  운동장,36.37465191,127.4218396
대전송촌중학교  운동장,36.36400405,127.4434341
대전법동초등학교 운동장,36.36957963,127.4320638
대전중리초등학교  운동장,36.3677192,127.4271685
대전중원초등학교  운동장,36.36581285,127.4280272
대전비래초등학교 운동장,36.36352954,127.452893
신탄진초등학교  운동장,36.4489848,127.4225049
대전목상초등학교 운동장,36.44563926,127.4123233
새일초등학교 운동장,36.43179027,127.4195524
신탄진용정초등학교 운동장,36.45422416,127.4360311
봇재,34.71341113,127.0876805
벌교꼬막웰빙센터,34.84509074,127.344815
득량면사무소,34.7622403,127.1687096
벌교고등학교,34.8333503,127.3422908
벌교상업고등학교,34.8466236,127.3495669
벌교초등학교,34.84399408,127.342433
득량초등학교,34.75199989,127.1864251
회천초등학교,34.67280182,127.0850714
사천중학교,35.08089986,128.0980816
수양초등학교,35.0789956,128.0893637
정동초등학교,35.057763,128.1240486
삼성초등학교,35.05443857,128.0753933
용현초등학교,35.013227,128.0628813
축동초등학교,35.10779025,128.0906242
곤양중학교,35.0597897,127.9732566
곤명초등학교,35.13028293,127.9743009
서포초등학교,35.00856195,127.9767903
대방초등학교,34.93189501,128.0658457
삼천포초등학교 신수분교,34.903920837,128.074867
대성초등학교,34.95330186,128.0774818
삼천포제일중학교,34.94879804,128.0856636
용산초등학교,34.94342038,128.098721
남양중학교,34.96950262,128.0621148
초전공원,35.06113217,128.0620506
항공우주테마공원,35.06925765,128.0856345
사천종합운동장,35.09039106,128.095849
삼천포종합운동장,34.9422782,128.0882354
사천중학교,35.08089986,128.0980816
수양초등학교,35.0789956,128.0893637
정동초등학교,35.057755,128.1240486
삼성초등학교,35.05443857,128.0753933
용현초등학교,35.013227,128.0628813
곤양중학교,35.0597897,127.9732566
대방초등학교,34.93189501,128.0658457
대성초등학교,34.95330186,128.0774818
삼천포제일중학교,34.94879804,128.0856636
남양중학교,34.96950262,128.0621148
사남초등학교,35.05919112,128.0659103
사천여자중학교,35.081201,128.1021255
삼천포공업고등학교,34.93428358,128.0839751
삼천포공업고등학교,34.93428358,128.0839751
경남자영고등학교,35.07844157,128.1004125
