위치명 ,위도,경도
부일여자중학교 운동장,37.484237009,126.71947486
부평고등학교 운동장,37.502284,126.72761792
인천갈산중학교 운동장,37.51022412,126.7265439
부흥초등학교 운동장,37.49625481,126.73118608
동암공원,37.469809,126.7040677
백운공원,37.519318,126.6929196
법성공원,37.474919,126.704984
샘터공원,37.470738885,126.699914
석정공원,37.469759,126.698488
수정공원(84호공원),37.476338,126.701726
솔개초등학교 강당,,
서원초등학교 강당,,
상현초등학교 체육관,,
원삼중학교 강당,,
정평중학교 체육관,,
풍덕고등학교 강당,,
토월초등학교 체육관,,
둔전제일초등학교 강당,,
백암초수정분교 교사동,,
모현초등학교 식당,,
성서초등학교 강당,,
대지고등학교 강당,,
용인대일초등학교 강당,,
포곡초등학교 운동장,,
영문중학교 운동장,,
둔전초등학교 운동장,,
능원초등학교 운동장,,
모현초등학교 운동장,,
왕산초등학교 운동장,,
남곡초등학교 운동장,,
남사초등학교 운동장,,
남촌초등학교 운동장,,
원삼초등학교 운동장,,
좌항초등학교 운동장,,
백암초등학교 운동장,,
상갈초등학교,,
나곡초등학교,,
나산초등학교,,
지곡초등학교,,
기흥동주민센터,,
한일초등학교 강당,,
기흥초등학교 강당,,
서천아이파크아파트 경로당,,
용인백현초등학교 다목적실,,
중일초등학교 강당,,
백현중학교 강당,,
동백고등학교 다목적교실,,
초당중학교 강당,,
백현고등학교 체육관,,
동백초등학교 강당,,
어정초등학교 강당,,
초당고등학교 강당,,
어정중학교 강당,,
동백중학교 강당,,
상하중학교 체육관,,
독정초등학교 다목적실,,
보정초등학교 강당,,
이현초등학교 강당,,
신봉중학교 강당,,
죽전초등학교,,
동천초등학교,,
가창초등학교운동장,35.771049541,128.6482452
소양체련공원,35.863022,127.250843
모악산 다목적운동장,35.729438496,127.10927297
고산생활체육공원,35.976087185,127.19886694
비봉생활체육공원,35.993316,127.139655
운주생활체육공원,36.087911,127.280183
화산생활체육공원,36.03035,127.197159
동상면민운동장,35.938821191,127.29291593
경천생활체육공원,36.021588,127.253773
삼례역 앞 주차장,35.906611,127.065049
화동저수지주차장,35.59465651,129.3715071
삼례 우수저류지,35.907418873,127.06544442
삼례재래시장,35.910189,127.072449
봉동 장기늘푸름공원,35.936705,127.165353
봉동 신월마을경로회관,35.927791,127.161324
용진파출소,35.882782,127.156566
고산시장,35.973486,127.204239
송전초등학교,,
용천초등학교 강당,,
용인초등학교 다목적강당,,
삼가초등학교 강당,,
용인고등학교 체육관,,
고림초등학교,,
용인성산초등학교 다목적실,,
봉동읍행정복지센터,35.941720873,127.16583838
용진읍행정복지센터,35.880517653,127.15612927
상관면행정복지센터,35.771677225,127.20683249
이서면행정복지센터,35.820596959,127.022482
소양면행정복지센터,35.854122685,127.2258575
구이면행정복지센터,35.731922114,127.12088711
고산면행정복지센터,35.976447716,127.20526762
비봉면사무소,35.995759206,127.140272
운주면사무소,36.092477673,127.277404
화산면사무소,36.035650804,127.203475
동상면사무소,35.936901152,127.29674767
경천면사무소,36.022713106,127.25261289
공설운동장,35.919898884,127.09338008
청소년수련관,35.91801418,127.08258202
삼례 수도산 근린공원,35.903412,127.068201
완주산업단지 테니스장,35.952262,127.140716
완주산업단지 제2테니스장,35.939752,127.131931
완주산업단지 중앙공원,35.943358,127.126873
봉동생강골공원,35.931491,127.159161
근로자종합복지관,35.960912703,127.1284052
국민체육센터,35.937876146,127.17475
상관생활체육공원,35.765408,127.211287
지사울문화공원,35.828928176,127.02262555
