위치명,위도,경도
한바다중학교,35.15729394,129.1176121
광안초등학교,35.15652651,129.11717964
백산,35.16136852,129.1265842
민락초등학교,35.1609477,129.126942
민락동행정복지센터,35.15726147,129.1254327
인천고등학교운동장,37.452959472,126.69130547
인천기계공업고등학교운동장,37.456858131,126.66835458
인천남부초등학교운동장,37.450330457,126.67587399
인천주안남초등학교운동장,37.449555047,126.68500428
인천주안북초등학교운동장,37.468161981,126.67805785
제물포여자중학교 운동장,37.44914547,126.6882011
주안초등학교운동장,37.45479861,126.673303
관교여자중학교 운동장,37.445136179,126.688969
관교중학교 운동장,37.44421762,126.6917043
관교초등학교운동장,37.446256191,126.69277952
남인천여자중학교 운동장,37.445117004,126.69404985
승학초등학교 운동장,37.440402174,126.69655956
산성어린이공원,37.43479176,126.6866417
문학정보고등학교 운동장,37.435492916,126.68668127
인천문학초등학교운동장,37.439890408,126.6828825
금강신관공원,36.468918991,127.12710452
덕암초등학교 운동장,36.630323255,126.97000919
구산초등학교 운동장,36.551927226,126.9578282
유구초등학교 운동장,36.554501389,126.949738
이인초등학교 운동장,36.361589767,127.06043434
탄천초등학교 운동장,36.330808,127.03195
계룡초등학교 운동장,36.358009922,127.14179579
인천백학초등학교운동장,37.438920044,126.67195023
인하사대부속중고등학교운동장,37.445965613,126.66286529
학산초등학교,37.439828831,126.65816045
학익고등학교운동장,37.43907845,126.66338456
학익초등학교운동장,37.447063525,126.65863834
쑥골어린이공원,37.47126834,126.6696188
선인고등학교운동장,37.47395907,126.65199986
선인중학교 운동장,37.47395907,126.65199986
안녕초등학교,,
인천대제물포캠퍼스대운동장,37.47395907,126.65199986
인천대화초등학교운동장,37.469018629,126.668504
인천도화초등학교운동장,37.463142128,126.66784305
인천비즈니스고등학교운동장,37.472116175,126.6665274
인천서화초등학교운동장,37.473984697,126.66081311
인천전자마이스터고등학교,37.47395907,126.65199986
인화여자고등학교 운동장,37.47395907,126.65199986
인화여자중학교운동장,37.47395907,126.65199986
다솔어린이공원,37.46083482,126.69509089
석바위근린공원,37.45402281,126.69369344
주안체육공원,37.4631554,126.6764553
경원초등학교 운동장,37.461364851,126.69576955
석암초등학교운동장,37.462350356,126.6867573
중앙공원,35.83789347,128.567795
중앙시장공영주차장,35.836952,128.568396
대덕공원,35.838466,128.581801
안지랑공원,35.838232,128.574194
앞산맛둘레길제1주차장,35.84544272,128.5871782
관문공원,35.83624038,128.5606341
관문시장공영주차장,35.83613466,128.5591081
대구남도초등학교 운동장,35.84427387,128.5813263
대구남명초등학교 운동장,35.83436385,128.5819866
대구대봉초등학교 운동장,35.85166409,128.6048079
대구봉덕초등학교 운동장,35.83968334,128.5968429
대구성명초등학교 운동장,35.84515662,128.5708211
대구영선초등학교 운동장,35.85290128,128.5960458
대구대명초등학교 운동장,35.8388746,128.5688899
대구남덕초등학교 운동장,35.83306282,128.5739472
대명중학교 운동장,35.83308922,128.5767451
대구대덕초등학교 운동장,35.8304366,128.5616736
봉덕시장공영주차장,35.844918,128.6026732
심인고등학교 운동장,35.84969989,128.5783335
영남이공대학교 운동장,35.84767574,128.5841726
계명대학교 운동장,35.85552317,128.5793157
중동초등학교,37.49002847,126.7693597
인주초등학교 운동장,37.44239035,126.67372505
경혜여자중학교 다목적교실동,35.84318216,128.5641032
대구고등학교,35.84910815,128.5887348
대구남도초등학교 강당,35.84427387,128.5813263
대구남덕초등학교 본관동,35.83306282,128.5739472
시설관리공단 대강당,35.83890186,128.5610989
고산골공영주차장,35.82991311,128.6033925
봉덕공원,35.84614624,128.5933482
신천둔치공원,35.83643603,128.605785
명덕공원,35.843042,128.587911
명동공원,35.8531699,128.5776382
백합공원,35.83269131,128.5640774
개나리공원,35.843849,128.6011122
봉덕공영주차장,35.8422057,128.601732
남구구민체육광장,35.832706,128.600232
목련공원,35.84372374,128.5913943
봉삼공영주차장,35.842843,128.597197
무궁화공원,35.8428124,128.5781744
앵두마을공원,35.8439276,128.5722939
대명공원,35.8552846,128.5862415
영선공원,35.8538161,128.5915237
성당시장공영주차장,35.8495281,128.573679
성명공원,35.8476391,128.5713899
대명2공원,35.84544608,128.5834308
문암군부대앞산 고지대,,128.548043
문암진리앞산 고지대,,128.543018
오호초등학교뒷산 고지대,38.314506,128.530779
백촌복지회관 고지대,38.291983,128.540417
동광초등학교 고지대,38.288432908,128.54349324
천학정야산 고지대,38.288391,128.547534
아야진초등학교 고지대,38.273489659,128.54930779
아야진침례교회 고지대,38.272236947,128.55520672
아야진장로교회 고지대,38.269057087,128.55444555
토성정수장 고지대,38.265186,128.554793
천진리뒷산(1) 고지대,38.256005,128.555129
천진리뒷산(2) 고지대,38.255495,128.553032
경동대학교 고지대,38.251533909,128.55654245
속초기상대 고지대,38.250622564,128.56438521
대구대봉초등학교 본관동,35.85166409,128.6048079
대구영선초등학교 다목적강당동,35.85290128,128.5960458
대구중학교 별관동,35.85007863,128.60368003
대구봉덕초등학교 본관동,35.83968334,128.5968429
대구효명초등학교 본관동,35.83465147,128.6010854
누리어린이공원,35.59128021,129.3701617
남구 보건소,35.8538161,128.5915237
대구교육대학교,35.85143158,128.5877392
경상공업고등학교 라동 일용체육관동,35.8452186,128.5741961
청도고등학교,35.640754,128.7479314
휘경여자고등학교운동장,37.58190052,127.0674341
휘경공업고등학교운동장,37.5852216,127.0697283
휘봉고등학교운동장,37.58640385,127.068852
이문초등학교운동장,37.60285965,127.0633885
화봉공원,35.589435488,129.36482486
동답초등학교운동장,37.57150142,127.0640341
쉼터어린이공원,37.56484697,127.0593171
