무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부경로당,36.3421685,127.4446866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아침마을아파트경로당,36.3412,127.4393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가양1동제1경로당(남),36.3437802,127.440387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갱이경로당,36.3421836,127.4446973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
칠월마을회관,35.5823829,128.5255909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상월마을회관,35.5693352,128.5288521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기마을회관,35.5722511,128.5447093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야동마을회관,35.5865681,128.534922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계팔마을회관,35.5842811,128.5380491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송단경로당,35.1898702,127.1576994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농소경로당,35.022484,127.030462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호동경로당,34.9994798,127.007576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미곡마을회관,35.5657281,128.5642453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청간마을회관,35.5496694,128.5774906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간지마을회관,35.5587361,128.5653197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매봉노인회관(여),36.3461739,127.4427098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가양1동새마을금고본점,36.3438394,127.4410412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동산미 경로당,36.96584,127.767303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원대곡 경로당,36.965297,127.757029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청양 경로당,36.959144,127.791152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미락 경로당,36.955538,127.790623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능촌 경로당,36.957616,127.783408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
묵동 경로당,36.949209,127.783993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼방 경로당,36.942595,127.774469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둑실동 경로당,37.5794975,126.7004138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매상경로당,35.6322756,126.6966668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉래정경로당,35.60984,126.6471638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변산농협,35.664608,126.528945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부안수협격포지점,35.6225917,126.4701833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변산농협격포지점,35.62432,126.472371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성경로당,35.663552,126.5239909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고사경로당,35.6592498,126.5122882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
궁항경로당,35.6048696,126.4691078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변산보건지소,35.6635167,126.5284062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암경로당,35.6371248,126.4851003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
판곡경로당,35.6291667,126.6908367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초남마을회관,34.9270594,127.6105896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
언포경로당,35.6006854,126.4851896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
격상경로당,35.6195552,126.4743501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
격하3경로당,35.626524,126.4729838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
격하경로당,35.6232978,126.4712208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반월경로당,35.6412711,126.4773783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양우경로당,35.6251637,126.4737807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽막경로당,35.6364179,126.4632475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포경로당,35.6456801,126.5025058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우천마을회관,35.5710739,128.5111662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상대마을회관,35.5779549,128.5142761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성남동 제1경로당,36.3440701,127.4377822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만수경로당,36.3446422,127.4325711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석촌마을(아) 경로당,36.3411422,127.4385953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성남동경로당,36.3436506,127.4310958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사랑회경로당,36.3436649,127.4310663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모항경로당,35.5823308,126.511147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수락경로당,35.5935295,126.4915406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
탑동 경로당,36.841714,127.984715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산 경로당,36.855672,127.974574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안보 경로당,36.837669,128.003686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복계 경로당,36.84002,128.015425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선권 경로당,36.841786,128.016715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뇌곡 경로당,36.833136,128.002654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마치1길 경로당,36.97111,127.806349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마치2길 경로당,36.972582,127.808075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신양1리 할머니 경로당,36.974777,127.800656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신양1리 할아버지 경로당,36.974452,127.800129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신양2리 경로당,36.973446,127.796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신양3리 경로당,36.967385,127.793578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신양4리 경로당,36.975113,127.796309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
작도경로당,35.5950299,126.5981439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진서경로당,35.6044226,126.6125018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곰소제일경로당,35.589244,126.609894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백포경로당,35.603201,126.6076693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연동경로당,35.6046704,126.6182274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자미경로당,35.6766941,126.5373449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석문경로당,35.6847247,126.5718228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대항경로당,35.6881062,126.5363967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변산경로당,35.663638,126.5289673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지남경로당,35.6597868,126.535365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
냉천마을회관,35.6238508,128.4873043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성남동 주민센터,36.3445361,127.4374907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉래경로당,35.5877923,126.6070995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
작당경로당,35.5871102,126.5464979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구진경로당,35.5944415,126.6202513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창기2리 경로당(참새골),36.585824,126.332038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중장2리 율포경로당,36.475926,126.37622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장문경로당(승언1리),36.51607,126.34448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
승언3리 경로당,36.507237,126.351617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신흥경로당,35.6930696,126.8166527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광덕경로당,35.6886621,126.7593326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서림동주민센터,37.4749906,126.9349893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
난곡동주민센터,37.47104,126.9216511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신사동주민센터,37.4855,126.9181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성남동신설경로당,36.3481226,127.4369216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
