무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두진아파트 할머니 경로당,36.462906,127.279112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발산리 경로당,36.45711,127.285364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감성리 경로당,36.442129,127.290967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두만2리 경로당,36.427461,127.294203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용담1리 경로당,36.4259665,127.2850898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무수 경로당,37.6798211,127.0413614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정경로당,34.386318,126.198456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화봉경로당,34.6660407,126.2700416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산축산농협 북구지점,35.5938322,129.3669201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNK 경남은행 화봉동지점,35.5885823,129.3662857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업은행 울산송정,35.6018458,129.3658209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중울산농협 상방지점,35.5818487,129.3638101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진달래어린이공원,35.1869614,126.9201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장미어린이공원,35.1858489,126.9195445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소망어린이공원,35.1846655,126.9211498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철쭉어린이공원,35.1824312,126.9210231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백일홍어린이공원,35.1827715,126.9247119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥한2차아파트경로당,35.1809219,128.0683282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥한1차아파트 경로당,35.1815596,128.0669823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평선마을 노인시설,35.4951106,127.4980079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평선불선재경로당,35.4936512,127.501543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월산마을 노인시설,35.502108,127.5104186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
등구마을 노인시설,35.491618,127.4954432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기마을회관,35.4965112,127.421596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산동우체국,35.4917417,127.4754795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산동면 행정복지센터,35.4926517,127.4762123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산동면보건지소,35.4918046,127.476651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부절보건진료소,35.4771881,127.4675075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대상보건진료소,35.5118559,127.4807937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이백면 보건지소,35.4263064,127.4571465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남계보건진료소,35.4565349,127.4371347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오촌마을 노인시설,35.4217278,127.4331071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초동마을 노인시설,35.4155011,127.4265612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
푸른어린이공원,35.1882236,126.8676814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영산강대상공원,35.1892522,126.8627973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우산근린공원,35.1763504,126.926041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사랑어린이공원,35.1784732,126.9182084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린어린이공원,35.1742372,126.9243974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우정혁신호반베르디움경로당,35.5611686,129.2914779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원2차경로당,35.5611204,129.2942899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중구종합사회복지관본관,35.5613657,129.2964879,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에일린의뜰3차아파트경로당,35.564546,129.3042726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원1차경로당,35.5626595,129.3044224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유곡푸르지오경로당,35.5602954,129.3047772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태화동주민센터,35.5565358,129.3044832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류 제2경로당,36.3268554,127.4040503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류 제1경로당,36.3217404,127.4077848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽청2리경로당,36.2404001,126.5538729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽청1리경로당,36.2340158,126.610279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
