위치명,위도,경도
예산초등학교(강당),36.684020022,126.84951029
삽교국민체육관(전체),36.685621383,126.73968088
삽교읍복지회관(전체),36.687866773,126.73978665
윤봉길체육관,36.677010012,126.86013054
보성초등학교,36.66717761,126.68102276
삽교중학교,36.68661525,126.74951855
웅산초등학교,36.551174163,126.77339834
신암면복지회관,36.734459464,126.82641994
임실군공설운동장,35.60983024,127.2826705
운암초중학교 운동장,35.663907578,127.15642532
신평초등학교 운동장,35.657604589,127.22632667
성수초등학교 운동장,35.6297263,127.33033748
오수의견공원,35.545203375,127.33267791
구리체육관,37.59556232,127.13627617
구리초등학교,37.601215,127.14759906
구지초등학교,37.607233,127.142221
내동마을회관,37.633113,127.13891565
백문초등학교,37.588599493,127.13276793
수택초등학교,37.591958824,127.1525368
인창초등학교,37.604449525,127.13149522
산마루초등학교,37.631637475,127.1201526
갈매고등학교,37.627385,127.11765038
갈매사회복지관,37.634826,127.115662
밀알교회,37.580188,127.15562919
솔밭공원,37.417903405,126.69150816
능허대공원,37.4232537,126.644603
선학공원,37.424144028,126.7006968
문남공원,37.4078026,126.6855173
솔안공원,37.412279099,126.6839405
양지공원,37.4154528,126.6793771
체육공원,37.4078026,126.6855173
대학공원,37.42110118,126.6877625
문화공원,37.41905341,126.6834466
용담공원,37.41862108,126.6742083
동춘공원,37.409699736,126.6686429
동막공원,37.404524773,126.6739339
용머리권역 상생관,36.128557243,126.9315157
용성초등학교,36.05656593,126.99965416
망성면사무소,36.132560128,127.02059779
가람어울림센터,36.059204776,127.08332866
금마다목적체육관,35.990962504,127.0552542
금마초등학교,35.991067709,127.05591998
왕궁면주민센터,35.966306261,127.08752785
춘포면사무소,35.900739595,127.0052717
이리동산초등학교,35.931853982,126.96397421
전북대학교 익산캠퍼스,35.942451943,126.95990664
남중동주민센터,35.9511289,126.9590834
이리북초,35.952635765,126.96119326
배산실내체육관,35.957641911,126.9520666
원광여중,35.95432998,126.94343221
이리남중학교,35.945913579,126.93593809
송학동주민센터,35.9384625,126.9403534
영등1동주민센터,35.9522694,126.9726305
신동주민센터,35.9597718,126.96105654
이리북중,35.963702519,126.95147164
팔봉동주민센터,35.965084174,127.01163759
익산부송중,35.955963495,126.99599862
교문중학교,37.588590857,127.13387274
교문초등학교,37.598212,127.13359046
왕궁중학교 운동장,35.965769293,127.09235206
왕궁초등학교 운동장,35.966327231,127.08988358
왕궁남초등학교 운동장,35.9270633,127.07551883
왕북초등학교 운동장,35.991015321,127.10407576
천서초등학교 운동장,35.9461524,127.03665285
춘포초등학교 운동장,35.90170167,127.01077635
삼기중학교 운동장,36.0216845,126.9839093
삼기초등학교 운동장,36.020039724,126.98549925
석불초등학교 운동장,36.029949026,127.00596796
흥왕초등학교 운동장,36.105066215,126.99654891
익산 공설운동장 공터,35.967985395,127.00904256
삼성동주민센터,35.962720236,126.989485
어양동주민센터,35.9553072,126.98429875
모현도서관,35.949834076,126.93645864
신동초,35.9616205,126.96721929
익산실내체육관,35.967985395,127.00904256
함열올림픽스포츠센터,36.075075526,126.96426214
함열고등학교,36.082607777,126.95897682
오산초등학교,35.941903809,126.91584963
황등면주민센터,36.004449334,126.94508324
황등중,36.007536549,126.94597284
웅포면주민센터,36.064134565,126.87681252
성당초등학교,36.100001396,126.92620988
천가초등학교 운동장,35.052346019,128.83126772
신호중학교 운동장,35.082414257,128.87709237
신호초등학교 운동장,35.081969533,128.87858623
명호중학교 운동장,35.080531232,128.89870977
명호고등학교 운동장,35.080628828,128.90001576
명호초등학교 운동장,35.085227074,128.90040956
남명초등학교 운동장,35.084035612,128.91059077
명지초등학교 운동장,35.102260767,128.92411724
녹명초등학교 운동장,35.114894041,128.88639223
배영초등학교 운동장,35.150203261,128.94532462
녹산초등학교 운동장,35.151475482,128.83712187
덕두초등학교 운동장,35.175648153,128.95586983
대저중고등학교 운동장,35.177586677,128.95629396
가락초등학교 운동장,35.196340027,128.89526548
부산산업과학고등학교 운동장,35.189260986,128.90396875
대사초등학교 운동장,35.220418111,128.93854869
대저초등학교 운동장,35.216102223,128.95530768
낙동중학교 운동장,35.216433853,128.96627636
대상초등학교 운동장,35.214119675,128.98025247
대항 공영주차장,35.01209585,128.83013573
금성초등학교 운동장,36.844662421,126.87977231
인주중학교 운동장,36.860900822,126.88027058
선도중학교 운동장,36.788783227,126.86393527
아산성심학교 운동장,36.776890315,126.86314943
도고온천초등학교 운동장,36.757663899,126.8754528
도고중학교 운동장,36.742687617,126.90180171
도고초등학교 운동장,36.746549674,126.89882881
신창중학교 운동장,36.800341111,126.93064857
오목초등학교 운동장,36.808539189,126.92782556
신창초등학교 운동장,36.780568234,126.93316598
아산남성초등학교 운동장,36.787240596,126.95662715
설화중학교 운동장,36.785861505,127.09668233
아산용연초등학교 운동장,36.792360646,127.09256011
연화초등학교 운동장,36.787201151,127.09505628
송남중학교 운동장,36.721541747,127.00435148
송남초등학교 운동장,36.733044779,127.01015641
거산초등학교 운동장,36.691918108,126.98986735
충남외국어고등학교 운동장,36.804043612,127.06146701
탕정중학교 운동장,36.80257362,127.06387571
동덕초등학교 운동장,36.820867353,127.08425673
미래초등학교 운동장,36.79779171,127.06383028
탕정초등학교 운동장,36.80203334,127.06613462
음봉초등학교 운동장,36.849402294,127.01136097
쌍룡초등학교 운동장,36.880460149,127.07420974
월랑초등학교 운동장,36.845796326,127.06883769
음봉중학교 운동장,36.842758806,127.06723331
둔포초등학교 운동장,36.927231838,127.03881424
아산전자기계고등학교 운동장,36.929075864,127.04366161
남창초등학교 운동장,36.920890867,127.00126549
관대초등학교 운동장,36.8984738,127.03690435
염작초등학교 운동장,36.924456763,127.05195935
영인중학교 운동장,36.854393577,126.96146258
영인초등학교 운동장,36.854885066,126.95417263
신화초등학교 운동장,36.886052333,126.96840629
인주초등학교 운동장,36.87620339,126.89634301
이리부송중학교 운동장,35.955963495,126.99599862
이리부송초등학교 운동장,35.955235555,126.99370545
이리부천초등학교 운동장,35.956550387,126.9855161
익산궁동초등학교 운동장,35.962376089,126.99391286
익산한벌초등학교 운동장,35.958879489,126.99452791
이리석암초등학교 운동장,35.935187312,127.0081823
공설시장,35.985077,126.720812
전북맹아학교 운동장,35.94137161,127.0055532
아사달공원 공터,36.073438191,126.96194051
함열고등학교 운동장,36.082607777,126.95897682
함열중학교 운동장,36.0827832,126.95976871
함열초등학교 운동장,36.07786198,126.96600299
함열여중학교 운동장,36.083419,126.96965389
함열여고등학교 운동장,36.082957241,126.96908487
다송초등학교 운동장,36.0414341,126.95507459
백제고등학교 운동장,35.952944798,126.90807033
영만초등학교 운동장,35.9477433,126.93097661
오산초등학교 운동장,35.941903809,126.91584963
오산남초등학교 운동장,35.927877521,126.89342476
성일고등학교 운동장,36.008455107,126.94662182
진경여고등학교 운동장,36.003757613,126.94104221
황등남초등학교 운동장,36.003350098,126.93874914
황등중학교 운동장,36.008455107,126.94662182
황등초등학교 운동장,36.009277001,126.94515665
온양초사초등학교 운동장,36.751211312,126.97352869
온양초등학교 운동장,36.76061021,127.01806777
이순신종합운동장,36.768175655,127.02072363
온양여자고등학교 운동장,36.778448337,127.01357007
온양여자중학교 운동장,36.77696843,127.01437354
온양풍기초등학교 운동장,36.774710389,127.01845988
온양용화고등학교 운동장,36.773718487,127.00281009
온양용화중학교 운동장,36.774870682,127.00664509
온양중학교 운동장,36.773709047,126.9983721
용화초등학교 운동장,36.77311778,126.99637246
신리초등학교 운동장,36.786480962,127.02435908
온양동신초등학교 운동장,36.779593653,127.01708239
온양권곡초등학교 운동장,36.790659203,127.01404491
충무초등학교 운동장,36.790720478,127.02029253
신광초등학교 운동장,36.789204868,126.96946495
염티초등학교 운동장,36.816634474,126.97813314
