무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북평경로당,37.480409,129.127796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구미경로당,37.47805,129.128356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북평13통경로당,37.484212,129.12787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가삼모정,35.1550936,126.7198358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지동 윗말경로당,37.462884,127.167726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제일 새마을금고 수진지점,37.438327,127.130862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낙원 새마을금고 본점,37.436701,127.12792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단대동 단대경로당,37.4479945,127.155752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단대동 논골경로당,37.4578228,127.1584399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH농협은행 은행동지점,37.4536971,127.160348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제일 새마을금고 단대지점(본점),37.445693,127.15645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제일 새마을금고 논골지점,37.45467,127.16049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산성동 장수경로당,37.4560922,127.153404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산성동 무지개경로당,37.4511,127.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노인복지관,37.4280887,127.0043395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍용역코오롱하늘채(아) 경로당,36.7919,127.1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산성동 백세건강경로당,37.4581336,127.1550588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제일 새마을금고 산성뉴타운지점,37.454421,127.15093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대산2리 경로당,35.934608,128.320488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대산3리 경로당,35.945124,128.324709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유월1리 경로당,35.954028,128.334966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무징이 경로당,35.998516,128.258922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신온3리 경로당,35.4278353,129.3100288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹촌6리 경로당(두산위브@),37.64063,127.295574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹촌7리 경로당(신창현두산위브@),37.6444915,127.2972366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내회새마을회관,35.402828,129.3179564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하회마을 경로당,35.4001186,129.3336206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕신1리 경로당,35.4348593,129.3132683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용방소3리 경로당,35.4270992,129.3108269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새울산(온산) 새마을금고,35.4358497,129.3102852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온산농협 본점,35.4336651,129.3123128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온산농협 서부지점,35.4367273,129.3091127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한은행 온산금융센터,35.4343371,129.3054332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNK 경남은행 온산지점,35.4305588,129.3074417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산온산우체국,35.4332232,129.3080668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한은행 울산S-OIL(출),35.4420096,129.3442128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영남3리 경로당,35.4396003,129.303402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영남4리 경로당,35.4399078,129.308621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거남 경로당,35.454497,129.315984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금산2리 마을회관,35.891077,128.203997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥화1리 쉼터,35.890023,128.192696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥화2리 마을회관,35.8957,128.19899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대천1리 경로당,35.882243,128.181723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잠전경로당,37.5060311,127.0831616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대(아)경로당,37.5042784,127.0854916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신잠실경로당,37.503913,127.082262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼환경로당,37.495495,127.136738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡3리 경로당,36.1138987,127.0940127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡4리 경로당,36.1199333,127.0854301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상암월드컵파크2단지(아)경로당,37.5746034,126.8915904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상암휴먼시아2단지(아)경로당,37.5749333,126.8972345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잠실올림픽공원아이파크경로당,37.5256597,127.114557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강변힐스테이트(아)경로당,37.551538,126.874791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
염창우성1차(아)경로당,37.5556228,126.8707389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위례아이파크1차경로당,37.479741,127.144096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위례2차아이파크경로당,37.479745,127.144095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위례포레샤인경로당,37.4761923,127.1352796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김용소공원,36.5910013,128.2156395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송파와이즈더샵경로당,37.4756126,127.143007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신천경로당,37.5084235,127.0865606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국지경로당,37.49026,126.941507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산2리 경로당,36.1207207,127.1142893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산3리 경로당,36.1169673,127.1053524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산4리 경로당,36.1211978,127.1189949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽평1리 경로당,36.1014687,127.1135465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽평2리 경로당,36.1101785,127.0990391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연무읍노인회분회,36.1210225,127.0965117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡1리 경로당,36.1213776,127.0939111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡1리효친마을회경로당,36.1213872,127.0966192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡2리 경로당,36.1144812,127.0960916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남산경로당,35.411981,126.666656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다개경로당,35.613097,129.122972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어음상리경로당,35.5634921,129.1321315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부2리 경로당,35.5666653,129.1277689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마포래미안푸르지오아파트 2단지 경로당,37.5529611,126.9527781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성미경로당,37,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월드컵참누리(아)경로당,37.5717319,126.9057883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수곡경로당,35.378405,126.675551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉산경로당,35.421806,126.677439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학산경로당,35.402245,126.686291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구암경로당,37.4876868,126.9480782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관악드림타운 2단지(아) 경로당,37.491697,126.948056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍용2단지경로당,37.5799338,127.0125013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신수현대(아)경로당,37.5429277,126.9368119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
합정경로당,37.5494396,126.9057573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가좌행복경로당,37.5692464,126.9131446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광교호반마을22단지(아)경로당,37.2796897,127.0697497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상2리 정자,38.3788,128.4631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연당마을 녹색쌈지공원,38.3782,128.4668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상일2동 주민센터,37.5499692,127.1758526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고내6리 경로당,36.0909555,127.1007571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고내3리 경로당,36.0859449,127.0918498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보라매경로당,37.4884691,126.9340672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당곡경로당,37.4922219,126.9294321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보라매삼성(아)경로당,37.494076,126.928018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
푸르지오(아)경로당,37.487215,126.960874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
