무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신동 유선각,34.5360452,126.9636103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥당 유선각,34.5599083,126.9393545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼산 유선각,34.5100448,126.9679507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방촌 유선각,34.549013,126.9492748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지정 유선각,34.5603576,126.9565978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온정사거리 공터,35.028862,128.060328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가산경로회관 앞,35.087862,128.04246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예동마을회관 공터,35.107225,128.073748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하탑마을회관 공터,35.097662,128.061358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배춘마을회관 앞 대형정자,35.095772,128.09753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서구마을회관,35.0282,127.950062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대포마을회관 뒤 공터,35.005428,127.98361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남구마을 입구 도로변 제방,35.033756,127.966392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도흥1리 경로당,36.833704,126.900463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도흥2리 경로당,36.829565,126.904481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밀두2리 경로당,36.867351,126.882907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성리 경로당,36.876343,126.898495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공세6리 경로당,36.880582,126.911048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관암2리 경로당,36.853157,126.882601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대음1리,36.849684,126.854419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금남2리마을회관경로당,35.920938,128.411406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아곡리 경로당,36.009593,128.421018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
