무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구작경로당,35.9769882,126.8253511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대동리 마을회관 및 경로당,36.6379083,126.609199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
적상면행정복지센터,35.9454783,127.6594261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계정2리 마을회관 및 경로당,36.6537968,126.7467686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
읍내3리 마을회관 및 경로당,36.704593,126.665442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계정1리 마을회관 및 경로당,36.6568665,126.7379597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학수경로당,37.612788,127.0178294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길음뉴타운 대림(아) 경로당,37.6123333,127.0184077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고덕아남(아)경로당,37.55794,127.1462746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일리버파크7단지경로당,37.5658877,127.1783063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일리버파크5단지경로당,37.5681939,127.1786556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나운동신아파트 경로당,35.9602107,126.7035338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대백조경로당,35.9667706,126.6918415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잠두마을회관,35.998537,127.6064245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연립경로당,35.9653424,126.7132049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙하이츠빌경로당,37.596463,127.064623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동아아파트경로당,37.4697908,126.9061228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대덕트윈빌아파트경로당,37.467556,126.899119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고덕현대(아)경로당,37.5567507,127.1519537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사월3리 경로당,36.2544631,127.1045663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관변마을회관(관변경로당),35.522,127.7458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남사읍분회경로당,37.1139907,127.1524364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오칠경로당,37.557022,126.90746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
염리동1경로당,37.547654,126.946407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신수동주민센터,37.547122,126.935158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월오1리 경로당,36.3111602,127.1294725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율1리 경로당,36.2659271,127.083536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용평3길 마을회관(용평5리경로당),35.5197,127.7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원삼면사무소(민원실),37.166585,127.3132746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거여경로당,37.4964593,127.1424832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백석1리 경로당,36.2522926,127.1844962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양촌2리양임 경로당,36.1139114,127.2353048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우2동경로당,35.1706336,129.1391158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕천종합사회복지관,35.2091126,129.0164461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡5단지(금오)경로당,35.2500101,129.0134249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡3단지 경로당,35.2645204,129.0219241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린숲속아파트경로당(24평),35.2410175,129.0224399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벽산그린필드1차 아파트경로당,35.1977273,129.0115085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑산1구경로당,35.5895975,128.2453998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
손덕경로당,34.9014525,128.4209816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용호경로당,34.8736978,128.3935226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휴천면사무소,35.48066,127.750228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반곡1리 국사봉,36.1839555,127.2043677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광평리경로당,37.1727814,126.693712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효갈2경로당,36.4890924,128.2809964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양노4리 경로당,37.2357804,126.8646908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두곡1리경로당,37.2065791,126.7832743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백곡1리경로당,37.1928815,126.7248915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백곡2리 경로당,37.1863779,126.726769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성사경로당,35.4188619,128.4640082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금당1리경로당,37.1917516,126.7422556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수랑매경로당,35.6254667,126.6932327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매바위경로당(장덕1),37.1535209,126.7935813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장전동경로당,37.2646842,126.8228926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수양마을회관,34.521975,126.710515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제내둔전성지동경로당,35.5859578,128.2120944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명성경로당,35.8403832,128.5727194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목현마을회관,35.4844477,127.7503352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종연3리 경로당,36.1733066,127.147251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종연2리 경로당,36.164105,127.1441751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신남(구립)경로당,37.5313,126.8302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목동(아)4단지 경로당,37.5319,126.8726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교촌1리향교동 경로당,36.170113,127.1111808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
음정마을회관,35.3622262,127.64504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목동우성 경로당,37.5413,126.8755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목동성원아파트 경로당,37.5264,126.8693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
힐스테이트 상도 센트럴파크아파트 경로당,37.4957472,126.9508625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도2동주민센터,37.5054945,126.9423314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도2동경로당,37.5022189,126.9461932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낙원경로당,37.5039572,126.9448461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장수경로당,37.5037088,126.9353919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천호삼성아파트(할머니)경로당,37.538,127.1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천호삼성아파트(할아버지)경로,37.5383011,127.1347902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천호태영A제2경로당,37.5386,127.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도종합사회복지관,37.502493,126.9496932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼승면 행정복지센터 회의실,36.3958142,127.7277023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼승면 주민자치센터,36.3967173,127.7329209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼승보건지소,36.3979558,127.7343967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경복(구립)경로당,37.5349,126.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효나눔센터(대청댐노인복지관),36.4946025,127.5973605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회인면 행정복지센터,36.4948344,127.5965505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동종합사회복지관,37.539859,127.129787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천호현대타워경로당,37.5359418,127.1336636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천삼경로당,37.5399039,127.1292171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천호3동주민센터,37.5360814,127.1331604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
묘서보건진료소,36.4457776,127.6984273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발산리 마을회관,36.471574,127.6973426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동정지구 보건진료소,36.4711708,127.6612344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남보은농협 수한지점,36.4810882,127.7012368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사음리 마을회관,36.427865,127.5409162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백석2리 경로당,36.2495568,127.1869272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백석3리 경로당,36.2510964,127.1801655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백석4리 경로당,36.249765,127.1767527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어은1리 경로당,36.2593782,127.1787079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천남2구 마을회관,36.4092314,127.7646417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수한면 행정복지센터,36.4794103,127.6987966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도엠코타운애스톤파크아파트 경로당,37.4972761,126.9494904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도패리스 경로당,37.5034792,126.9543068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내천경로당,37.5285136,127.1240386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내삼성아파트목련경로당,37.532072,127.1262303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내삼성아파트경로당,37.5299423,127.1259824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건영아파트경로당,37.5071733,126.9487825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
래미안1차108동아파트경로당,37.5052621,126.9330462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이파크아파트경로당,37.5008676,126.941908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금곡리 마을회관,36.4570047,127.5949777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거교2리 마을회관,36.4446668,127.5799957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거교1리 마을회관,36.453139,127.5838333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분저리 경로당,36.4236443,127.5746368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이편한세상 상도노빌리티아파트 경로당,37.5053621,126.9482974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도3동주민센터,37.4992063,126.9313412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도3동경로당,37.4934517,126.9363305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍용스윗닷홈아파트경로당,37.5013825,126.9316926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성대경로당,37.5012735,126.9302762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑을명가1차아파트경로당,37.4935902,126.9341875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑을명가2차아파트경로당,37.4935862,126.9352448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도4동주민센터,37.4993682,126.9414865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장안면 행정복지센터,36.4697416,127.7887597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보은농협 장안지점,36.4666345,127.7877923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업은행 천호동지점,37.5378953,127.1269598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEB하나은행 강동역점,37.5361,127.1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
래미안강동팰리스경로당,37.5378,127.1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구사거리경로당,37.5382543,127.1289402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천호태영A제1경로당,37.5382,127.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내1동경로당,37.5294516,127.1265382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
약수경로당,37.4995625,126.9448521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성대골경로당,37.4973118,126.9349758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성래미안1차아파트경로당,37.5044651,126.9337962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상도더샵아파트경로당,37.5020334,126.9446555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브라운스톤상도아파트경로당,37.5060179,126.9440077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원베네스트아파트경로당,37.5030516,126.9446545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둔촌역청구경로당,37.5294517,127.1329868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민은행 둔촌역지점,37.5237055,127.1342481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한은행 둔촌동지점,37.5238388,127.1342936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동농협 둔촌역지점,37.5267208,127.1353622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기업은행 둔촌동지점,37.5239937,127.1343618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEB 하나은행 둔촌역지점,37.526663,127.135336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경향렉스빌아파트경로당,37.4953242,126.9419604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동아아파트 경로당,37.4962309,126.9399779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내종합사회복지관,37.532179,127.129321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내3동제1경로당,37.5313526,127.1347868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내3동제2경로당,37.5247179,127.1313132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남보은농협 회인지점,36.4909936,127.5973135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회인면 주민자치센터,36.4904612,127.5984969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고석리 경로당,36.5173031,127.611341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내3동주민센터,37.5260424,127.1328857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리은행 둔촌역금융센터,37.5292209,127.1362627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
