무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월봉경로당,35.235899,127.032349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하산경로당,35.236673,126.987748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현암경로당,35.205715,127.035752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하소천경로당,35.228709,127.020034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산경로당,35.225085,127.007852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기동경로당,35.255558,126.989008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상산경로당,35.235987,126.991964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창평면사무소,35.2389137,127.0191338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창수당경로당,35.240092,127.015415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해곡경로당,35.245161,126.978204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용연경로당,35.1233661,127.0705072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인암경로당,35.1405945,127.067849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장전경로당,35.248106,127.003407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
첨단2제일풍경채실버클럽경로당,35.2121,126.8581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
왜관11리 와촌 경로당,35.986,128.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천리고가교,36.560363,128.7264295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홀론공원,36.5585932,128.7201821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천리소하천 물놀이장,36.5582697,128.7137263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영가대교 하부,36.5592037,128.7338736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창동1리(원창)경로당,36.31889,126.6121048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥동근린공원,36.5585652,128.6936822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강변시민공원 어린이물놀이장,36.5540364,128.7301719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새울놀이공원쉼터,37.5034522,126.740589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월영마을 공원,35.1744295,128.5587371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참좋은회관경로당,35.124499,129.0872969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월우경로당,35.121748,129.086906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동친경로당,35.120497,129.085748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지경로당,35.123929,129.08484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대3차A경로당,35.112335,129.08452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지골경로당,35.1184041,129.0850671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감만동일스위트경로당,35.1191435,129.0832601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대2차A경로당,35.111569,129.082081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감만동 새마을금고 본점,35.1228391,129.084139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우암동일경로당,35.1252567,129.0786611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일경로당,35.1251599,129.0815605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우정경로당,35.1255498,129.0777388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참좋은수양경로당,35.1267994,129.0837362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우암동 새마을금고 본점,35.1247154,129.078017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남부산 새마을금고 본점,35.116922,129.080878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노령경로당,35.1246194,129.0843862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감만한마음경로당,35.1226304,129.0880038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔밭노인정,35.1356398,129.0910254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대연1동경로당,35.1330911,129.0968602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대남경로당,35.1361339,129.0867138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대1차A경로당,35.1145243,129.0837679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동방파크맨션경로당,35.11768,129.1095655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미주아파트경로당,35.1191918,129.1091745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산경로당,35.1223629,129.1144447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용호 새마을금고 본점,35.1191648,129.112585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한진훼미리타운경로당,35.1155788,129.1088767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼호경로당,35.114632,129.1098931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미연경로당,35.1270878,129.0954683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대아이파크A경로당,35.1216315,129.1003309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용당동 새마을금고 본점,35.1154815,129.094803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송포경로당,35.1160381,129.08656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송광2차경로당,35.144926,126.793351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석현여자경로당,35.3455953,127.0249762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광신경로당,35.1771395,126.9331774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린자이2차경로당,35.208727,126.88286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동남2차경로당,35.212536,126.876591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광명1차경로당,35.207833,126.870066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양산동 광주은행,35.21137,126.874798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양산동 행정복지센터,35.2091636,126.8797061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평교경로당,35.181601,126.928365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두암보건지소,35.174302,126.932544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두암2동 행정복지센터,35.174594,126.9325229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부영경로당,35.1672044,126.9353429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율곡타운경로당,35.1652895,126.9345848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
궁전공원 실외무더위쉼터,35.842703,128.535792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길우어린이공원 실외무더위쉼터,35.842296,128.528216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초록어린이공원 실외무더위쉼터,35.844913,128.5285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파랑새어린이공원 실외무더위쉼터,35.846383,128.527446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산공원 실외 무더위쉼터,35.855853,128.528498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용산본어린이공원 실외무더위쉼터,35.860409,128.523691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새동네어린이공원 실외무더위쉼터,35.857076,128.52244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미소어린이공원,35.857486,128.510247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창용4리 경로당,36.907986,126.989083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문방2리 경로당,36.855705,126.861045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신봉1리 경로당,36.8967,126.97496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신봉2리 경로당,36.884522,127.00505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신봉3리 경로당,36.893357,126.973995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신봉4리 경로당,36.893344,126.974072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내1리 경로당,36.880476,126.990902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내2리 경로당,36.868642,126.981661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성내3리 경로당,36.871488,127.002698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신화1리 경로당,36.884979,126.973266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신화2리 경로당,36.887205,126.965969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신화3리 경로당,36.892834,126.962559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아산2리 경로당,36.8550707,126.95598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해암1리 경로당,36.830806,126.886447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국경로당,35.209855,126.896759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청솔1차경로당,35.2072299,126.896316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청솔4차경로당,35.2069984,126.8997866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일동경로당,35.208714,126.88923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일곡경로당,35.208593,126.89279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호반경로당,35.208131,126.897486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호경로당,35.208347,126.898471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신택1리 마을회관,36.760442,126.8050214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사정1동경로당,35.817719,128.72706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥산동노인회관,35.823459,128.718314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신종1리 마을회관,36.7555848,126.8219492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신종2리 마을회관,36.7646565,126.8169132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하평리 마을회관,36.7838611,126.8267739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산2리 마을회관,36.7248361,126.8043384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산3리 마을회관,36.729386,126.7980944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신택2리 마을회관,36.7672571,126.8135007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용궁1리 마을회관,36.7428633,126.8031408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용궁2리 마을회관,36.7512793,126.8036837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예림1리 마을회관,36.7465664,126.7873278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예림2리 마을회관,36.7465314,126.7763346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중예리 마을회관,36.7399641,126.770256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조곡1리 마을회관,36.7326261,126.7825011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조곡2리 마을회관,36.7399052,126.7818876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조곡3리 마을회관,36.7262291,126.7886109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
별1리 마을회관,36.7273012,126.7695639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
별2리 마을회관,36.7350134,126.7591745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산1리 마을회관,36.7324903,126.8094418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
탄중리 마을회관,36.7138033,126.8203595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참판경로당,35.177015,126.936736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두암골경로당,35.172117,126.931223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑낭경로당,35.174074,126.93033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북구노인종합복지관,35.172309,126.934394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군왕로경로당,35.1642861,126.9327065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라인경로당,35.1724148,126.9365023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대경로당,35.1730207,126.9368619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍용경로당,35.210907,126.897448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상고야경로당,34.446702,126.17593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하고야경로당,34.4497442,126.178857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소앵무경로당,34.445274,126.198228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백연경로당,34.4353702,126.1995908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길은경로당,34.469043,126.189827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석곡리 경로당,36.887977,127.091245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수헐2리 부영@ 경로당,36.893973,127.138902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신갈리 경로당,36.861924,127.111415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양당1리 경로당,36.876552,127.112906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자은가리 경로당,36.878124,127.123315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
판정1리 경로당,36.906162,127.18181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청솔3차경로당,35.21088,126.898448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
