무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장풍2리경로당,37.3688476,127.6045362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금남3리 경로당,37.6534001,127.3671984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
답내1리 경로당,37.6599082,127.3556208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초현3리경로당,37.3663296,127.5869189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양촌리경로당,37.3706508,127.5595012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율촌4리경로당,37.3745312,127.5894206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파성 경로당,37.4070655,127.555367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금남1리 경로당,37.6448344,127.3603789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창현16리 경로당,37.6405219,127.3015967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창현17리 경로당,37.6425434,127.3045055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창현1리 경로당,37.6492046,127.3068262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차산1리 경로당,37.6317651,127.2912249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북내면노인회관,37.3269809,127.6850931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부평2리경로당,37.2844357,127.7405132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도전1리경로당,37.3203851,127.7570284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도전2리경로당,37.3267267,127.7465335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당촌경로당,35.1788308,127.9727007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대평복지회관,35.2326908,127.9611038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내촌경로당,35.165666,127.9889234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호매실마을13단지(아)경로당,37.265031,126.9557964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능실마을21단지(아)경로당,37.2541033,126.9595767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능실마을20단지(아)경로당,37.2579075,126.9614366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수철리 경로당,36.7056,126.8844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대천1동분회,36.3544439,126.597541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제2분회 경로당,36.7273,126.8465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아름채아파트 경로당,36.7235,126.8381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대평경로당,35.232826,127.9620482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효남경로당,35.1795174,127.9436287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주경경로당,35.176599,128.0870858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남가람경로당,35.1874933,128.0898246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남강경로당,35.1800488,128.0964322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원동경로당,35.1657931,127.9607752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서촌경로당,35.1684888,127.9498417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원내경로당,35.1710375,127.952059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이화경로당,35.1804685,128.084403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망경경로당,35.1816719,128.0827195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류라인아파트경로당,37.4966142,126.8472794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류1동 주민센터,37.4972542,126.8452791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류동경서농협,37.495968,126.8422897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한신플러스타운경로당,37.4984274,126.8410471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부골든(아)서부경로당,37.50504,126.8546799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동산경로당,37.497721,126.8368793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장미경로당,37.4955342,126.8383473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동선아파트경로당,37.493604,126.8394903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부돌타운(아)경로당,37.4970536,126.84877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거산(아)경로당,37.277826,126.9529366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼익1차(아)경로당,37.2698429,126.9566599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능실마을19단지(아)경로당,37.2603519,126.9584477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동방마을회관경로당,35.1363547,128.1907641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부동마을회관경로당,35.1712114,128.1736753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동정마을회관경로당,35.170804,128.1676132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제곡마을회관경로당,35.1572087,128.1793648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주정마을회관경로당,35.1715351,128.1711715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안전마을회관경로당,35.1457389,128.2032205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정마을회관경로당,35.1435345,128.2200171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상이마을회관 경로당,35.1739704,128.1866381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈곡노인경로당,35.1469402,128.2085876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서정마을회관경로당,35.1711205,128.1659316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주약한보은빛마을,35.171213,128.0944092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한주한보타운 경로당,35.1838838,128.0863536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동신아파트경로당,35.1800143,128.0814219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남부경로당,35.1840988,128.0936569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대경강남타운경로당,35.1803226,128.0896688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제일경로당,35.1861654,128.0852316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍용(아)경로당,37.2680313,126.9523615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류동신한은행,37.4960231,126.8445155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한양수자인파크원(아)경로당,37.2654675,126.9505118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자목경로당,37.2637752,126.945287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능실마을22단지경로당,37.25832,126.959033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노림경로당,37.2685831,126.9561659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호매실GS(아)경로당,37.2676005,126.9593304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신안주공2차 아파트경로당(할머니),35.179,128.0666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계리마을회관경로당,35.13546,128.1626974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕동마을회관경로당,35.1682918,128.1639553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파란채 마을회관,35.1653043,128.1658943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코아루아파트마을회관,35.1694669,128.1612311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼곡리마을회관,35.1686899,128.168967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문산노인회관,35.1668918,128.1647457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼환 나우빌아파트,35.173892,128.0914676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉곡경로당,35.1956621,128.0747278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남성경로당,35.1892763,128.0735733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장대경로당,35.1937124,128.0894383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥남경로당,35.1923547,128.0926322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진주경로당,35.1966623,128.0892091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수정경로당,35.1973093,128.0854754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서부경로당,35.1911911,128.0801851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오죽경로당,35.193172,128.0730718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중안경로당,35.194203,128.080325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인사경로당,35.189249,128.073622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원촌마을회관경로당,35.1623793,128.1378725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어수마을회관경로당,35.148362,128.1674487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이곡마을회관경로당,35.1489414,128.1810591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두산마을회관경로당,35.1449646,128.1516137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉래경로당,35.2008899,128.0832981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한주아파트경로당,35.1907548,128.0913481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금산경로당,35.1974125,128.0907797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수경로당,35.1980803,128.096277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대림아파트경로당,35.1956615,128.0938218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남촌경로당,36.6592356,127.4215528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상신경로당,36.6664082,127.434706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원평1구경로당,36.6684651,127.4389817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원평2구경로당,36.6718312,127.4351974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우산3리경로당,36.7222096,127.5879695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동막제2경로당,36.6000578,127.3690157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문암경로당,36.6709023,127.448504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송절1구경로당,36.6614657,127.4509553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송절2구경로당,36.6656896,127.4612836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신성경로당,36.6549354,127.4164428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평동경로당,36.6596188,127.4150448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신대1구경로당,36.676955,127.4039736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신대2구경로당,36.6767112,127.4109666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창복지회관,35.3261161,127.3333802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용강마을 노인시설,35.3270222,127.3344366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신평마을 노인시설,35.3395153,127.3358099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초리마을 노인시설,35.3236252,127.3473924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서당마을 노인시설,35.3220104,127.3389706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창보건진료소,35.3270991,127.331798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신덕마을 노인시설,35.3338786,127.3849065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내호곡마을 노인시설,35.3388308,127.3734236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내호곡마을 여성노인시설,35.3392134,127.3736311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양촌마을 노인시설,35.3471621,127.3862164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신산마을 노인시설,35.3224144,127.322001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오촌마을 노인시설,35.3660019,127.3788491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송동면보건지소,35.3549848,127.3371228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기마을 노인시설,35.3681367,127.3378752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백평마을 노인시설,35.3604298,127.3264766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양양군보건소,38.043033,128.374695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구교1리마을회관,38.043222,128.372611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
