위치명,위도,경도
마차초등학교,,
남면사무소,,
봉덕초등학교 운동장,34.64207765,127.7783417
강남정공원,34.71658325,127.749242
돌산공원,34.73049435,127.7416873
백초초등학교 운동장,34.72936368,127.7441524
소라초등학교 운동장,34.79584888,127.6312106
여양고등학교 운동장,34.7888811,127.6317981
율촌초등학교 운동장,34.88272787,127.5765049
신풍초등학교 운동장,34.84395607,127.6101259
나진초등학교 운동장,34.70868712,127.6122337
여남중/고학교 운동장,34.51208499,127.7677072
여남초등학교 운동장,34.51168257,127.7663647
여안초등학교 운동장,34.48547478,127.8055465
연도초등학교 운동장,34.43271745,127.8008434
화태초등학교 운동장,34.58500961,127.7350085
화정초등학교 운동장,34.57061394,127.6599894
거문초등학교 운동장,34.02619931,127.3126444
거문중학교 운동장,34.02478003,127.3030778
영월공설운동장,,
구래초등학교 운동장,,
녹전초등학교 운동장,,
옥동중학교 운동장,,
마차초등학교 운동장,,
연당중학교 운동장,,
신천초등학교 운동장,,
부산조리고등학교,35.18400554,128.9805798
진장중학교 운동장,35.5636042,129.35832446
대항마을진입로,,
마동초등학교 운동장,36.02494239,126.71441636
심원중학교,35.52028322,126.5485899
구남보건고등학교(체육관동),35.85810813,128.57262407
군포고등학교 운동장,37.357773,126.940006
흥진초등학교 운동장,37.352188,126.929159
도장공원,37.352946,126.926271
철쭉공원,37.353157,126.925725
궁내초등학교 운동장,37.364577,126.920132
둔대초등학교 운동장,37.326946,126.910967
중앙공원,37.362881,126.930757
슬기어린이공원,37.371092,126.936033
금정제일공원,37.360561,126.944317
한우물근린공원,37.359037,126.955604
대야초등학교 운동장,37.32905035,126.9152047
부곡중앙중학교 운동장,37.32343551,126.9386564
부곡중앙초등학교 운동장,37.32273178,126.9408743
복합생활종합타운 운동장,37.33941552,126.9348727
당정초등학교 운동장,37.34642704,126.9547107
자산공원,34.73947555,127.7503959
중앙초등학교 운동장,34.74094375,127.74450765
여수동초등학교 운동장,34.74698386,127.740808
여수진남초등학교 운동장,34.75182701,127.7269051
여수서초등학교 운동장,34.74138273,127.7249613
봉산초등학교 운동장,34.73503524,127.7274868
남산초등학교 운동장,34.73716583,127.7299619
구봉중학교 운동장,34.73187728,127.7145915
군산산북초등학교 운동장,35.964276341,126.68183398
어린이 14공원,35.959835,126.676101
달천초등학교,36.963102,127.8799847
대림초등학교,36.96913201,127.918041
국원고등학교,36.97949337,127.9214004
칠금초등학교,36.98420297,127.9238608
중앙중학교,36.9821743,127.9311772
충주여자중학교,36.97689746,127.9339655
연수초등학교,36.98800951,127.9384999
한국자활연수원,36.98416302,127.9611227
중앙탑초등학교,37.02688597,127.855326
목행초등학교,37.0080597,127.919152
노은초등학교,37.04849603,127.7556155
금가초등학교,37.04422689,127.922538
새나라어린이공원,37.548319085,126.97636713
삼광초등학교 운동장,37.547753303,126.97659363
후암초등학교 운동장,,
용암초등학교 운동장,37.545304433,126.98943557
성지공원,35.852622766,128.51763068
용주공원,35.853938095,128.51851473
성산공원,35.855530076,128.51747356
한마음공원,35.8574793,128.51727908
용하공원,35.853713117,128.52148144
새동네공원,35.8570355,128.5225599
병풍바위공원,35.8614589,128.52096962
용산본공원,35.860091218,128.52363582
서촌공원,35.859491492,128.5226059
선원공원,35.86108777,128.51552485
성서고등학교(운동장),35.8598255,128.5161042
성산초등학교(운동장),35.8578839,128.51891786
성산중학교(운동장),35.856740751,128.51865232
성지초등학교(운동장),35.853290337,128.5187149
목련공원,35.8557268,128.508313
이곡생수공원,35.854400645,128.51471125
이곡정자공원,35.855969398,128.51322234
미소공원,35.857495298,128.51227278
이곡장미공원,35.857413635,128.51446305
불미골공원,35.860670435,128.50916257
용강공원,35.862162899,128.51373419
대소원초등학교,36.97559056,127.825255
관덕정공터,37.3799576,129.2235783
장기공용주차장,35.843350116,128.52997392
초록공원,35.844862954,128.53006054
파랑새공원,35.846610033,128.52646813
길우공원,35.84275545,128.52798359
장기초등학교(운동장),35.844393295,128.5290634
장동초등학교(운동장),35.84478358,128.53176349
대구전자공업고등학교(운동장),35.8479269,128.52979634
용산미로공원,35.856438505,128.53336478
공룡공원,35.853632884,128.53346128
용산공원,35.860603855,128.52953058
용전공원,35.859077122,128.52798686
큰못공원,35.860136217,128.52633781
장산공원,35.856630152,128.52510605
용산근린공원,35.8559818,128.5285206
샘골공원,35.854673362,128.53158181
대구용전초등학교(운동장),35.861090661,128.5312564
용산초등학교(운동장),35.85522607,128.53205294
장성초등학교(운동장),35.850359862,128.52326364
장산초등학교(운동장),35.85483895,128.5265312
