무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가락쌈지공원,35.1070949,128.9577051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내토 경로당,37.0743544,127.3634795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태정 경로당,37.086124,127.3653158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상덕 경로당,37.0385134,127.3663305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신미 경로당,37.0742822,127.3736242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼죽학구 경로당,37.0993823,127.3829013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율현 경로당,37.0852108,127.3563814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고삼면사무소,37.088026,127.2728171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월동 경로당,37.0919673,127.2852318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
향림 경로당,37.0979389,127.2892481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고동 경로당,37.1158823,127.2850971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌍지1구 경로당,37.105945,127.2944612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사동 경로당,37.1001984,127.2918708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉지곡 경로당,37.0970784,127.2960734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평촌리 마을회관,36.6852704,126.7126489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수촌리 마을회관,36.6693463,126.7026226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신리 마을회관 및 경로당,36.6855655,126.674982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안치리 마을회관,36.6871374,126.6872999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신북농협 본점,37.9258148,127.745576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지내보건진료소,37.9576919,127.7291785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오동보건진료소,37.9455029,127.752191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검암2리경로당,36.5426345,128.6585108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원2통경로당,37.3526208,127.081771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동막근린공원 정자2,37.4038465,126.6729802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부수지공원 정자,37.4081716,126.6785914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부수지공원 정자2,37.4078265,126.6786236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일봉산해피트리경로당,36.7974,127.1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신길센트럴자이아파트 경로당,37.5040958,126.9047445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
들말어린이공원,36.3314,127.3871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화공원 정자8,37.4173197,126.6820085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화공원 정자9,37.4174816,126.6815257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화공원 정자14,37.4177713,126.6822982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지공원 정자,37.4151382,126.6786504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장항 경로당,37.0936071,127.3693818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품곡 경로당,37.0788944,127.3958889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월앙 경로당,37.0862403,127.389183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼산배수펌프장 유수지공원(정자),35.546536,129.338251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영흥1리 마을회관,37.188685,128.46961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장미공원,37.180506,128.462575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하송6리 마을회관,37.178295,128.457812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영흥9리 마을회관,37.187432,128.475096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원동마을 쉼터,35.1406627,128.2908766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
답천마을 쉼터2,35.1582006,128.2851382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양전마을 쉼터2,35.1517494,128.295936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운천마을 쉼터1,35.1622623,128.2706222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운천마을 쉼터2,35.1653041,128.2648266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금야마을 쉼터1,35.1466271,128.2632248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금야마을 쉼터2,35.1459499,128.2673313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반성시장 쉼터,35.1706955,128.2818114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용호 정자,34.77024,125.926951,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자항 정자,34.76106,125.919954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원평 정자,34.77333,125.909965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망동 정자,34.74807,125.927649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상암 정자,34.73919,125.933533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임리 정자,34.73517,125.923705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외촌 정자,34.73882,125.908302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내촌 정자,34.73997,125.901151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월포 정자,34.73517,125.901737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내포 정자,34.7278,125.903487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
협동 정자,35.08675,126.11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전장포 정자,35.13854,126.132243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이흑암리 정자,35.06405,126.097323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한운 정자1,34.75835,126.08434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대율 정자1,34.89657,126.067062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대율 정자3,34.88923,126.077934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유천 정자,34.87779,126.072649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우이도 정자2,34.61139,125.821546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이곡 정자1,34.69485,125.987436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만년 정자2,34.70136,125.976674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽연 정자,34.67702,125.978465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이곡 정자2,34.69204,125.992181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만년 정자1,34.70591,125.989026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당산 정자,34.77303,125.959964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나배 정자,34.7703,125.980945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도고 정자3,34.77919,125.969812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽치 정자,34.73749,125.916597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌 정자2,34.76606,125.917085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가출 정자,34.76668,125.989139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지동 정자,34.77173,125.951038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평림 정자,34.77211,125.914894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고막 정자,34.76923,125.905002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서산 정자,34.76197,129.910055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용운동경로당,36.3277318,127.4510479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류 정자1,34.68544,125.952026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발매 정자1,34.71548,125.93545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발매 정자2,34.71093,125.93045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류 정자2,34.67908,125.955342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오류 정자3,34.66972,125.947465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수다 정자3,34.70794,125.965591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오리 정자1,34.72193,125.459012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가거도 정자1,34.08348,125.114702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마리 정자4,34.66091,125.397565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예리 정자1,34.68859,125.444685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이곡 정자4,34.698863,125.996637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우이도 정자3,34.61883,125.853103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가거도 정자2,34.05209,125.12689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비리경로당 정자,34.68098,125.407408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진리 정자7,34.69483,125.430166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비리 정자,34.67067,125.398318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가거도 정자4,34.05339,125.129667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마리 정자1,34.68752,125.410191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽항 정자1,34.68353,125.442867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사리 정자2,34.64397,125.411703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진리 정자5,34.68831,125.4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진리 정자6,34.69324,125.42973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마리 정자3,34.67833,125.37806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오림 정자2,34.58317,126.047229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥도 정자,34.6781,126.069684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대리 정자2,34.616,126.024296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웅곡 정자3,34.60064,126.026705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
능산 정자3,34.61476,126.009803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웅곡 정자,34.60837,126.038077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후광 정자3,34.62604,126.0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오림 정자,34.57743,126.042916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오림 정자4,34.58329,126.047286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웅곡 정자2,34.59753,126.047525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진리 정자3,34.68438,125.425018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진리 정자4,34.6875,125.429503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예리 정자2,34.68532,125.445497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽항 정자3,34.68292,125.44371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마리 정자2,34.66178,125.397686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소사리 정자1,34.68474,125.448817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오리 정자2,34.72108,125.460217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오리 정자3,34.72647,125.454204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수리 정자,34.73069,125.464581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후광 정자2,34.63115,126.022989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창마 정자,34.74317,126.12895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용현5동분회 경로당,37.4516002,126.6326315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용현5동 주민센터,37.4525314,126.6402092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학익1동분회 경로당,37.4386302,126.6645303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학삼경로당,37.4378695,126.6749535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤촌 정자,34.56541,126.084979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상서2구 정자,34.60707,126.076935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황성 정자,34.54577,126.057132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기동 정자,34.58554,126.085902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모농삼거리 정자,34.58554,126.085902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노은 정자,34.55098,126.075217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매산끝 정자,34.55799,126.070782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥촌 정자,34.56542,126.08497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상서1구 정자,34.60775,126.073769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복지회관 정자,34.58506,126.09047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
굴암 정자,34.53749,126.037664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하동1구 정자,34.56258,126.078193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동면 정자,34.61242,126.084132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단고 정자,34.82653,126.108402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천포 정자,34.85097,126.080625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충혼탑 정자,34.78104,126.142492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장촌 정자,34.77466,126.139874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고교 정자,34.77116,126.138776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대심 정자2,34.77531,126.133848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철쭉공원 정자,34.79618,126.123588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장목 정자,34.79354,126.12573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대산두 정자,34.77997,126.131528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거분 정자,34.80579,126.150478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
게이트볼장 정자,34.7854,126.14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장산 정자3,34.63183,126.153562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
